プロット タイトル: site07_spot008_2021,,
#,月/日/年　時刻,"温度, °C (LGR S/N: 20291299, SEN S/N: 20291299)"
1015,12/26/20 01:00:00 午後,23.905
1016,12/26/20 01:30:00 午後,23.978
1017,12/26/20 02:00:00 午後,23.93
1018,12/26/20 02:30:00 午後,23.93
1019,12/26/20 03:00:00 午後,23.93
1020,12/26/20 03:30:00 午後,23.905
1021,12/26/20 04:00:00 午後,23.857
1022,12/26/20 04:30:00 午後,23.857
1023,12/26/20 05:00:00 午後,23.881
1024,12/26/20 05:30:00 午後,23.978
1025,12/26/20 06:00:00 午後,24.074
1026,12/26/20 06:30:00 午後,24.146
1027,12/26/20 07:00:00 午後,24.146
1028,12/26/20 07:30:00 午後,24.122
1029,12/26/20 08:00:00 午後,24.074
1030,12/26/20 08:30:00 午後,23.978
1031,12/26/20 09:00:00 午後,23.954
1032,12/26/20 09:30:00 午後,23.857
1033,12/26/20 10:00:00 午後,23.785
1034,12/26/20 10:30:00 午後,23.569
1035,12/26/20 11:00:00 午後,23.545
1036,12/26/20 11:30:00 午後,23.521
1037,12/27/20 12:00:00 午前,23.593
1038,12/27/20 12:30:00 午前,23.689
1039,12/27/20 01:00:00 午前,23.785
1040,12/27/20 01:30:00 午前,23.713
1041,12/27/20 02:00:00 午前,23.785
1042,12/27/20 02:30:00 午前,23.833
1043,12/27/20 03:00:00 午前,23.881
1044,12/27/20 03:30:00 午前,23.881
1045,12/27/20 04:00:00 午前,23.881
1046,12/27/20 04:30:00 午前,23.905
1047,12/27/20 05:00:00 午前,23.857
1048,12/27/20 05:30:00 午前,23.857
1049,12/27/20 06:00:00 午前,23.881
1050,12/27/20 06:30:00 午前,23.881
1051,12/27/20 07:00:00 午前,23.881
1052,12/27/20 07:30:00 午前,23.905
1053,12/27/20 08:00:00 午前,23.857
1054,12/27/20 08:30:00 午前,23.833
1055,12/27/20 09:00:00 午前,23.857
1056,12/27/20 09:30:00 午前,23.881
1057,12/27/20 10:00:00 午前,23.833
1058,12/27/20 10:30:00 午前,23.833
1059,12/27/20 11:00:00 午前,23.833
1060,12/27/20 11:30:00 午前,24.05
1061,12/27/20 12:00:00 午後,24.05
1062,12/27/20 12:30:00 午後,24.219
1063,12/27/20 01:00:00 午後,24.122
1064,12/27/20 01:30:00 午後,24.171
1065,12/27/20 02:00:00 午後,24.122
1066,12/27/20 02:30:00 午後,24.098
1067,12/27/20 03:00:00 午後,24.098
1068,12/27/20 03:30:00 午後,24.05
1069,12/27/20 04:00:00 午後,24.026
1070,12/27/20 04:30:00 午後,24.002
1071,12/27/20 05:00:00 午後,24.002
1072,12/27/20 05:30:00 午後,24.002
1073,12/27/20 06:00:00 午後,23.978
1074,12/27/20 06:30:00 午後,24.026
1075,12/27/20 07:00:00 午後,24.05
1076,12/27/20 07:30:00 午後,24.05
1077,12/27/20 08:00:00 午後,24.05
1078,12/27/20 08:30:00 午後,24.05
1079,12/27/20 09:00:00 午後,24.05
1080,12/27/20 09:30:00 午後,24.05
1081,12/27/20 10:00:00 午後,24.05
1082,12/27/20 10:30:00 午後,24.05
1083,12/27/20 11:00:00 午後,24.05
1084,12/27/20 11:30:00 午後,24.05
1085,12/28/20 12:00:00 午前,24.026
1086,12/28/20 12:30:00 午前,24.026
1087,12/28/20 01:00:00 午前,24.05
1088,12/28/20 01:30:00 午前,24.05
1089,12/28/20 02:00:00 午前,24.026
1090,12/28/20 02:30:00 午前,24.026
1091,12/28/20 03:00:00 午前,24.05
1092,12/28/20 03:30:00 午前,24.026
1093,12/28/20 04:00:00 午前,24.05
1094,12/28/20 04:30:00 午前,24.026
1095,12/28/20 05:00:00 午前,24.026
1096,12/28/20 05:30:00 午前,23.978
1097,12/28/20 06:00:00 午前,24.074
1098,12/28/20 06:30:00 午前,24.074
1099,12/28/20 07:00:00 午前,24.074
1100,12/28/20 07:30:00 午前,24.074
1101,12/28/20 08:00:00 午前,24.05
1102,12/28/20 08:30:00 午前,24.026
1103,12/28/20 09:00:00 午前,24.002
1104,12/28/20 09:30:00 午前,23.93
1105,12/28/20 10:00:00 午前,23.978
1106,12/28/20 10:30:00 午前,23.978
1107,12/28/20 11:00:00 午前,23.978
1108,12/28/20 11:30:00 午前,23.978
1109,12/28/20 12:00:00 午後,23.954
1110,12/28/20 12:30:00 午後,23.978
