プロット タイトル: site11_spot019_2021,,,,,,,,
#,日付,"時間, GMT+09:00","温度, °C (LGR S/N: 10307002, SEN S/N: 10307002)",カプラー取り外し (LGR S/N: 10307002),カプラー取り付け (LGR S/N: 10307002),ホスト接続 (LGR S/N: 10307002),停止済み (LGR S/N: 10307002),ファイルの終わり (LGR S/N: 10307002)
1,2020/11/22,9:00:00,25.089,記録,,,,
2,2020/11/22,9:30:00,26.28,,,,,
3,2020/11/22,10:00:00,26.378,,,,,
4,2020/11/22,10:30:00,26.036,,,,,
5,2020/11/22,11:00:00,26.085,,,,,
6,2020/11/22,11:30:00,26.109,,,,,
7,2020/11/22,12:00:00,26.109,,,,,
8,2020/11/22,12:30:00,26.304,,,,,
9,2020/11/22,13:00:00,26.353,,,,,
10,2020/11/22,13:30:00,26.451,,,,,
11,2020/11/22,14:00:00,26.402,,,,,
12,2020/11/22,14:30:00,26.573,,,,,
13,2020/11/22,15:00:00,26.598,,,,,
14,2020/11/22,15:30:00,26.573,,,,,
15,2020/11/22,16:00:00,26.598,,,,,
16,2020/11/22,16:30:00,26.622,,,,,
17,2020/11/22,17:00:00,26.646,,,,,
18,2020/11/22,17:30:00,26.646,,,,,
19,2020/11/22,18:00:00,26.646,,,,,
20,2020/11/22,18:30:00,26.671,,,,,
21,2020/11/22,19:00:00,26.671,,,,,
22,2020/11/22,19:30:00,26.646,,,,,
23,2020/11/22,20:00:00,26.622,,,,,
24,2020/11/22,20:30:00,26.598,,,,,
25,2020/11/22,21:00:00,26.549,,,,,
26,2020/11/22,21:30:00,26.549,,,,,
27,2020/11/22,22:00:00,26.5,,,,,
28,2020/11/22,22:30:00,26.475,,,,,
29,2020/11/22,23:00:00,26.451,,,,,
30,2020/11/22,23:30:00,26.402,,,,,
31,2020/11/23,0:00:00,26.402,,,,,
32,2020/11/23,0:30:00,26.353,,,,,
33,2020/11/23,1:00:00,26.353,,,,,
34,2020/11/23,1:30:00,26.304,,,,,
35,2020/11/23,2:00:00,26.256,,,,,
36,2020/11/23,2:30:00,26.182,,,,,
37,2020/11/23,3:00:00,26.012,,,,,
38,2020/11/23,3:30:00,25.841,,,,,
39,2020/11/23,4:00:00,25.72,,,,,
40,2020/11/23,4:30:00,25.671,,,,,
41,2020/11/23,5:00:00,25.623,,,,,
42,2020/11/23,5:30:00,25.574,,,,,
43,2020/11/23,6:00:00,25.55,,,,,
44,2020/11/23,6:30:00,25.525,,,,,
45,2020/11/23,7:00:00,25.525,,,,,
46,2020/11/23,7:30:00,25.501,,,,,
47,2020/11/23,8:00:00,25.477,,,,,
48,2020/11/23,8:30:00,25.501,,,,,
49,2020/11/23,9:00:00,25.477,,,,,
50,2020/11/23,9:30:00,25.525,,,,,
51,2020/11/23,10:00:00,25.477,,,,,
52,2020/11/23,10:30:00,25.453,,,,,
53,2020/11/23,11:00:00,25.453,,,,,
54,2020/11/23,11:30:00,25.428,,,,,
55,2020/11/23,12:00:00,25.428,,,,,
56,2020/11/23,12:30:00,25.428,,,,,
57,2020/11/23,13:00:00,25.428,,,,,
58,2020/11/23,13:30:00,25.477,,,,,
59,2020/11/23,14:00:00,25.574,,,,,
60,2020/11/23,14:30:00,25.744,,,,,
61,2020/11/23,15:00:00,25.817,,,,,
62,2020/11/23,15:30:00,25.744,,,,,
63,2020/11/23,16:00:00,25.72,,,,,
64,2020/11/23,16:30:00,25.72,,,,,
65,2020/11/23,17:00:00,25.671,,,,,
66,2020/11/23,17:30:00,25.647,,,,,
67,2020/11/23,18:00:00,25.623,,,,,
68,2020/11/23,18:30:00,25.598,,,,,
69,2020/11/23,19:00:00,25.574,,,,,
