プロット タイトル: site07_spot008_2023,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20763659, SEN S/N: 20763659)",カプラー取り外し (LGR S/N: 20763659),カプラー取り付け (LGR S/N: 20763659),ホスト接続 (LGR S/N: 20763659),停止済み (LGR S/N: 20763659),ファイルの終わり (LGR S/N: 20763659)
1,01/17/23 11:00:00 午前,21.509,記録,,,,
2,01/17/23 12:00:00 午後,21.915,,,,,
3,01/17/23 01:00:00 午後,21.939,,,,,
4,01/17/23 02:00:00 午後,21.915,,,,,
5,01/17/23 03:00:00 午後,21.915,,,,,
6,01/17/23 04:00:00 午後,21.867,,,,,
7,01/17/23 05:00:00 午後,21.963,,,,,
8,01/17/23 06:00:00 午後,21.867,,,,,
9,01/17/23 07:00:00 午後,21.748,,,,,
10,01/17/23 08:00:00 午後,21.604,,,,,
11,01/17/23 09:00:00 午後,20.865,,,,,
12,01/17/23 10:00:00 午後,20.817,,,,,
13,01/17/23 11:00:00 午後,20.817,,,,,
14,01/18/23 12:00:00 午前,20.936,,,,,
15,01/18/23 01:00:00 午前,20.936,,,,,
16,01/18/23 02:00:00 午前,20.913,,,,,
17,01/18/23 03:00:00 午前,21.437,,,,,
18,01/18/23 04:00:00 午前,21.915,,,,,
19,01/18/23 05:00:00 午前,21.939,,,,,
20,01/18/23 06:00:00 午前,21.891,,,,,
21,01/18/23 07:00:00 午前,21.795,,,,,
22,01/18/23 08:00:00 午前,21.557,,,,,
23,01/18/23 09:00:00 午前,21.366,,,,,
24,01/18/23 10:00:00 午前,21.27,,,,,
25,01/18/23 11:00:00 午前,21.437,,,,,
26,01/18/23 12:00:00 午後,21.628,,,,,
27,01/18/23 01:00:00 午後,21.628,,,,,
28,01/18/23 02:00:00 午後,21.724,,,,,
29,01/18/23 03:00:00 午後,21.604,,,,,
30,01/18/23 04:00:00 午後,21.915,,,,,
31,01/18/23 05:00:00 午後,21.963,,,,,
32,01/18/23 06:00:00 午後,21.939,,,,,
33,01/18/23 07:00:00 午後,21.963,,,,,
34,01/18/23 08:00:00 午後,21.772,,,,,
35,01/18/23 09:00:00 午後,21.795,,,,,
36,01/18/23 10:00:00 午後,21.915,,,,,
37,01/18/23 11:00:00 午後,21.915,,,,,
38,01/19/23 12:00:00 午前,21.795,,,,,
39,01/19/23 01:00:00 午前,21.7,,,,,
40,01/19/23 02:00:00 午前,21.724,,,,,
41,01/19/23 03:00:00 午前,21.867,,,,,
42,01/19/23 04:00:00 午前,21.939,,,,,
43,01/19/23 05:00:00 午前,21.963,,,,,
44,01/19/23 06:00:00 午前,21.963,,,,,
45,01/19/23 07:00:00 午前,21.915,,,,,
46,01/19/23 08:00:00 午前,21.843,,,,,
47,01/19/23 09:00:00 午前,21.7,,,,,
48,01/19/23 10:00:00 午前,21.676,,,,,
49,01/19/23 11:00:00 午前,21.891,,,,,
50,01/19/23 12:00:00 午後,22.178,,,,,
51,01/19/23 01:00:00 午後,22.25,,,,,
52,01/19/23 02:00:00 午後,22.298,,,,,
53,01/19/23 03:00:00 午後,22.321,,,,,
54,01/19/23 04:00:00 午後,22.298,,,,,
55,01/19/23 05:00:00 午後,22.25,,,,,
56,01/19/23 06:00:00 午後,22.202,,,,,
57,01/19/23 07:00:00 午後,22.154,,,,,
