プロット タイトル:site21_spot011_2020,,,,
番号,年/月/日,時間,午前/午後,水温データ
"59	",2020/1/22,12:00:00,"午前	",16.606
"60	",2020/1/22,1:00:00,"午前	",16.63
"61	",2020/1/22,2:00:00,"午前	",16.677
"62	",2020/1/22,3:00:00,"午前	",16.606
"63	",2020/1/22,4:00:00,"午前	",16.63
"64	",2020/1/22,5:00:00,"午前	",16.63
"65	",2020/1/22,6:00:00,"午前	",16.654
"66	",2020/1/22,7:00:00,"午前	",16.701
"67	",2020/1/22,8:00:00,"午前	",16.773
"68	",2020/1/22,9:00:00,"午前	",16.796
"69	",2020/1/22,10:00:00,"午前	",16.82
"70	",2020/1/22,11:00:00,"午前	",16.868
"71	",2020/1/22,12:00:00,"午後	",17.034
"72	",2020/1/22,1:00:00,"午後	",17.177
"73	",2020/1/22,2:00:00,"午後	",17.249
"74	",2020/1/22,3:00:00,"午後	",17.296
"75	",2020/1/22,4:00:00,"午後	",17.32
"76	",2020/1/22,5:00:00,"午後	",17.32
"77	",2020/1/22,6:00:00,"午後	",17.296
"78	",2020/1/22,7:00:00,"午後	",17.296
"79	",2020/1/22,8:00:00,"午後	",17.272
"80	",2020/1/22,9:00:00,"午後	",17.011
"81	",2020/1/22,10:00:00,"午後	",17.011
"82	",2020/1/22,11:00:00,"午後	",17.034
"83	",2020/1/23,12:00:00,"午前	",17.368
"84	",2020/1/23,1:00:00,"午前	",17.486
"85	",2020/1/23,2:00:00,"午前	",17.534
"86	",2020/1/23,3:00:00,"午前	",17.534
"87	",2020/1/23,4:00:00,"午前	",17.486
"88	",2020/1/23,5:00:00,"午前	",17.463
"89	",2020/1/23,6:00:00,"午前	",17.534
"90	",2020/1/23,7:00:00,"午前	",17.534
"91	",2020/1/23,8:00:00,"午前	",17.534
"92	",2020/1/23,9:00:00,"午前	",17.463
"93	",2020/1/23,10:00:00,"午前	",17.249
"94	",2020/1/23,11:00:00,"午前	",17.344
"95	",2020/1/23,12:00:00,"午後	",17.415
"96	",2020/1/23,1:00:00,"午後	",17.463
"97	",2020/1/23,2:00:00,"午後	",17.534
"98	",2020/1/23,3:00:00,"午後	",17.582
"99	",2020/1/23,4:00:00,"午後	",17.653
"100	",2020/1/23,5:00:00,"午後	",17.701
"101	",2020/1/23,6:00:00,"午後	",17.701
"102	",2020/1/23,7:00:00,"午後	",17.677
"103	",2020/1/23,8:00:00,"午後	",17.582
"104	",2020/1/23,9:00:00,"午後	",17.558
"105	",2020/1/23,10:00:00,"午後	",17.582
"106	",2020/1/23,11:00:00,"午後	",17.605
"107	",2020/1/24,12:00:00,"午前	",17.582
"108	",2020/1/24,1:00:00,"午前	",17.558
"109	",2020/1/24,2:00:00,"午前	",17.486
"110	",2020/1/24,3:00:00,"午前	",17.486
"111	",2020/1/24,4:00:00,"午前	",17.439
"112	",2020/1/24,5:00:00,"午前	",17.439
"113	",2020/1/24,6:00:00,"午前	",17.391
"114	",2020/1/24,7:00:00,"午前	",17.368
"115	",2020/1/24,8:00:00,"午前	",17.344
"116	",2020/1/24,9:00:00,"午前	",17.344
"117	",2020/1/24,10:00:00,"午前	",17.439
"118	",2020/1/24,11:00:00,"午前	",17.463
"119	",2020/1/24,12:00:00,"午後	",17.51
"120	",2020/1/24,1:00:00,"午後	",17.534
"121	",2020/1/24,2:00:00,"午後	",17.558
"122	",2020/1/24,3:00:00,"午後	",17.582
"123	",2020/1/24,4:00:00,"午後	",17.605
"124	",2020/1/24,5:00:00,"午後	",17.558
"125	",2020/1/24,6:00:00,"午後	",17.558
"126	",2020/1/24,7:00:00,"午後	",17.558
"127	",2020/1/24,8:00:00,"午後	",17.558
"128	",2020/1/24,9:00:00,"午後	",17.558
"129	",2020/1/24,10:00:00,"午後	",17.582
"130	",2020/1/24,11:00:00,"午後	",17.558
"131	",2020/1/25,12:00:00,"午前	",17.534
"132	",2020/1/25,1:00:00,"午前	",17.51
"133	",2020/1/25,2:00:00,"午前	",17.439
"134	",2020/1/25,3:00:00,"午前	",17.391
"135	",2020/1/25,4:00:00,"午前	",17.439
"136	",2020/1/25,5:00:00,"午前	",17.51
"137	",2020/1/25,6:00:00,"午前	",17.439
"138	",2020/1/25,7:00:00,"午前	",17.32
"139	",2020/1/25,8:00:00,"午前	",17.249
"140	",2020/1/25,9:00:00,"午前	",17.225
"141	",2020/1/25,10:00:00,"午前	",17.153
"142	",2020/1/25,11:00:00,"午前	",17.082
"143	",2020/1/25,12:00:00,"午後	",16.987
"144	",2020/1/25,1:00:00,"午後	",16.987
"145	",2020/1/25,2:00:00,"午後	",17.034
"146	",2020/1/25,3:00:00,"午後	",17.011
"147	",2020/1/25,4:00:00,"午後	",17.058
"148	",2020/1/25,5:00:00,"午後	",17.391
"149	",2020/1/25,6:00:00,"午後	",17.415
"150	",2020/1/25,7:00:00,"午後	",17.391
"151	",2020/1/25,8:00:00,"午後	",17.272
"152	",2020/1/25,9:00:00,"午後	",17.058
"153	",2020/1/25,10:00:00,"午後	",17.225
"154	",2020/1/25,11:00:00,"午後	",16.939
"155	",2020/1/26,12:00:00,"午前	",17.082
"156	",2020/1/26,1:00:00,"午前	",17.177
"157	",2020/1/26,2:00:00,"午前	",17.368
"158	",2020/1/26,3:00:00,"午前	",17.391
"159	",2020/1/26,4:00:00,"午前	",17.344
"160	",2020/1/26,5:00:00,"午前	",17.32
"161	",2020/1/26,6:00:00,"午前	",17.51
"162	",2020/1/26,7:00:00,"午前	",17.534
