プロット タイトル: site22_spot006_2022,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011400, SEN S/N: 21011400)",カプラー取り外し (LGR S/N: 21011400),カプラー取り付け (LGR S/N: 21011400),ホスト接続 (LGR S/N: 21011400),停止済み (LGR S/N: 21011400),ファイルの終わり (LGR S/N: 21011400)
1,11/18/21 07:00:00 午前,19.841,記録,,,,
2,11/18/21 08:00:00 午前,19.746,,,,,
3,11/18/21 09:00:00 午前,18.985,,,,,
4,11/18/21 10:00:00 午前,20.865,,,,,
5,11/18/21 11:00:00 午前,22.178,,,,,
6,11/18/21 12:00:00 午後,23.569,,,,,
7,11/18/21 01:00:00 午後,21.7,,,,,
8,11/18/21 02:00:00 午後,19.127,,,,,
9,11/18/21 03:00:00 午後,21.819,,,,,
10,11/18/21 04:00:00 午後,22.274,,,,,
11,11/18/21 05:00:00 午後,22.25,,,,,
12,11/18/21 06:00:00 午後,22.25,,,,,
13,11/18/21 07:00:00 午後,22.202,,,,,
14,11/18/21 08:00:00 午後,22.202,,,,,
15,11/18/21 09:00:00 午後,22.13,,,,,
16,11/18/21 10:00:00 午後,22.106,,,,,
17,11/18/21 11:00:00 午後,22.082,,,,,
18,11/19/21 12:00:00 午前,22.058,,,,,
19,11/19/21 01:00:00 午前,22.034,,,,,
20,11/19/21 02:00:00 午前,22.011,,,,,
21,11/19/21 03:00:00 午前,21.939,,,,,
22,11/19/21 04:00:00 午前,21.867,,,,,
23,11/19/21 05:00:00 午前,21.939,,,,,
24,11/19/21 06:00:00 午前,21.939,,,,,
25,11/19/21 07:00:00 午前,21.915,,,,,
26,11/19/21 08:00:00 午前,21.915,,,,,
27,11/19/21 09:00:00 午前,21.891,,,,,
28,11/19/21 10:00:00 午前,21.915,,,,,
29,11/19/21 11:00:00 午前,21.963,,,,,
30,11/19/21 12:00:00 午後,22.011,,,,,
31,11/19/21 01:00:00 午後,22.058,,,,,
32,11/19/21 02:00:00 午後,22.058,,,,,
33,11/19/21 03:00:00 午後,22.13,,,,,
34,11/19/21 04:00:00 午後,22.154,,,,,
35,11/19/21 05:00:00 午後,22.106,,,,,
36,11/19/21 06:00:00 午後,22.106,,,,,
37,11/19/21 07:00:00 午後,22.034,,,,,
38,11/19/21 08:00:00 午後,22.058,,,,,
39,11/19/21 09:00:00 午後,22.011,,,,,
40,11/19/21 10:00:00 午後,21.939,,,,,
41,11/19/21 11:00:00 午後,22.011,,,,,
42,11/20/21 12:00:00 午前,21.987,,,,,
43,11/20/21 01:00:00 午前,22.011,,,,,
44,11/20/21 02:00:00 午前,22.011,,,,,
45,11/20/21 03:00:00 午前,21.963,,,,,
46,11/20/21 04:00:00 午前,21.939,,,,,
47,11/20/21 05:00:00 午前,21.915,,,,,
48,11/20/21 06:00:00 午前,21.939,,,,,
49,11/20/21 07:00:00 午前,21.939,,,,,
50,11/20/21 08:00:00 午前,21.915,,,,,
51,11/20/21 09:00:00 午前,21.939,,,,,
52,11/20/21 10:00:00 午前,21.987,,,,,
53,11/20/21 11:00:00 午前,22.034,,,,,
54,11/20/21 12:00:00 午後,22.058,,,,,
55,11/20/21 01:00:00 午後,22.106,,,,,
56,11/20/21 02:00:00 午後,22.082,,,,,
57,11/20/21 03:00:00 午後,22.106,,,,,
58,11/20/21 04:00:00 午後,22.154,,,,,
59,11/20/21 05:00:00 午後,22.178,,,,,
60,11/20/21 06:00:00 午後,22.226,,,,,
61,11/20/21 07:00:00 午後,22.25,,,,,
62,11/20/21 08:00:00 午後,22.274,,,,,
63,11/20/21 09:00:00 午後,22.274,,,,,
64,11/20/21 10:00:00 午後,22.274,,,,,
65,11/20/21 11:00:00 午後,22.321,,,,,
66,11/21/21 12:00:00 午前,22.369,,,,,
67,11/21/21 01:00:00 午前,22.393,,,,,
68,11/21/21 02:00:00 午前,22.417,,,,,
69,11/21/21 03:00:00 午前,22.393,,,,,
70,11/21/21 04:00:00 午前,22.345,,,,,
71,11/21/21 05:00:00 午前,22.321,,,,,
72,11/21/21 06:00:00 午前,22.298,,,,,
73,11/21/21 07:00:00 午前,22.298,,,,,
74,11/21/21 08:00:00 午前,22.298,,,,,
75,11/21/21 09:00:00 午前,22.321,,,,,
76,11/21/21 10:00:00 午前,22.369,,,,,
77,11/21/21 11:00:00 午前,22.393,,,,,
78,11/21/21 12:00:00 午後,22.441,,,,,
79,11/21/21 01:00:00 午後,22.441,,,,,
80,11/21/21 02:00:00 午後,22.441,,,,,
81,11/21/21 03:00:00 午後,22.441,,,,,
82,11/21/21 04:00:00 午後,22.417,,,,,
83,11/21/21 05:00:00 午後,22.417,,,,,
84,11/21/21 06:00:00 午後,22.393,,,,,
85,11/21/21 07:00:00 午後,22.417,,,,,
86,11/21/21 08:00:00 午後,22.393,,,,,
87,11/21/21 09:00:00 午後,22.369,,,,,
88,11/21/21 10:00:00 午後,22.369,,,,,
89,11/21/21 11:00:00 午後,22.633,,,,,
90,11/22/21 12:00:00 午前,22.776,,,,,
91,11/22/21 01:00:00 午前,22.776,,,,,
92,11/22/21 02:00:00 午前,22.776,,,,,
93,11/22/21 03:00:00 午前,22.753,,,,,
94,11/22/21 04:00:00 午前,22.729,,,,,
95,11/22/21 05:00:00 午前,22.633,,,,,
96,11/22/21 06:00:00 午前,22.609,,,,,
97,11/22/21 07:00:00 午前,22.609,,,,,
98,11/22/21 08:00:00 午前,22.585,,,,,
99,11/22/21 09:00:00 午前,22.585,,,,,
100,11/22/21 10:00:00 午前,22.585,,,,,
101,11/22/21 11:00:00 午前,22.561,,,,,
102,11/22/21 12:00:00 午後,22.537,,,,,
103,11/22/21 01:00:00 午後,22.513,,,,,
104,11/22/21 02:00:00 午後,22.489,,,,,
105,11/22/21 03:00:00 午後,22.513,,,,,
106,11/22/21 04:00:00 午後,22.513,,,,,
107,11/22/21 05:00:00 午後,22.513,,,,,
108,11/22/21 06:00:00 午後,22.465,,,,,
109,11/22/21 07:00:00 午後,22.441,,,,,
110,11/22/21 08:00:00 午後,22.441,,,,,
111,11/22/21 09:00:00 午後,22.417,,,,,
112,11/22/21 10:00:00 午後,22.369,,,,,
113,11/22/21 11:00:00 午後,22.345,,,,,
114,11/23/21 12:00:00 午前,22.345,,,,,
115,11/23/21 01:00:00 午前,22.345,,,,,
116,11/23/21 02:00:00 午前,22.321,,,,,
117,11/23/21 03:00:00 午前,22.298,,,,,
118,11/23/21 04:00:00 午前,22.274,,,,,
119,11/23/21 05:00:00 午前,22.226,,,,,
120,11/23/21 06:00:00 午前,22.178,,,,,
121,11/23/21 07:00:00 午前,22.13,,,,,
122,11/23/21 08:00:00 午前,22.106,,,,,
123,11/23/21 09:00:00 午前,22.106,,,,,
124,11/23/21 10:00:00 午前,22.13,,,,,
125,11/23/21 11:00:00 午前,22.13,,,,,
126,11/23/21 12:00:00 午後,22.106,,,,,
127,11/23/21 01:00:00 午後,22.058,,,,,
128,11/23/21 02:00:00 午後,22.082,,,,,
129,11/23/21 03:00:00 午後,22.034,,,,,
130,11/23/21 04:00:00 午後,22.011,,,,,
131,11/23/21 05:00:00 午後,21.963,,,,,
132,11/23/21 06:00:00 午後,21.963,,,,,
133,11/23/21 07:00:00 午後,21.939,,,,,
134,11/23/21 08:00:00 午後,21.915,,,,,
135,11/23/21 09:00:00 午後,21.867,,,,,
136,11/23/21 10:00:00 午後,21.795,,,,,
137,11/23/21 11:00:00 午後,21.772,,,,,
138,11/24/21 12:00:00 午前,21.724,,,,,
139,11/24/21 01:00:00 午前,21.724,,,,,
140,11/24/21 02:00:00 午前,21.724,,,,,
141,11/24/21 03:00:00 午前,21.7,,,,,
142,11/24/21 04:00:00 午前,21.652,,,,,
143,11/24/21 05:00:00 午前,21.604,,,,,
144,11/24/21 06:00:00 午前,21.581,,,,,
145,11/24/21 07:00:00 午前,21.533,,,,,
146,11/24/21 08:00:00 午前,21.557,,,,,
147,11/24/21 09:00:00 午前,21.557,,,,,
148,11/24/21 10:00:00 午前,21.533,,,,,
149,11/24/21 11:00:00 午前,21.533,,,,,
150,11/24/21 12:00:00 午後,21.533,,,,,
151,11/24/21 01:00:00 午後,21.533,,,,,
152,11/24/21 02:00:00 午後,21.557,,,,,
153,11/24/21 03:00:00 午後,21.533,,,,,
154,11/24/21 04:00:00 午後,21.509,,,,,
155,11/24/21 05:00:00 午後,21.461,,,,,
156,11/24/21 06:00:00 午後,21.437,,,,,
157,11/24/21 07:00:00 午後,21.413,,,,,
158,11/24/21 08:00:00 午後,21.39,,,,,
159,11/24/21 09:00:00 午後,21.39,,,,,
160,11/24/21 10:00:00 午後,21.39,,,,,
161,11/24/21 11:00:00 午後,21.366,,,,,
162,11/25/21 12:00:00 午前,21.366,,,,,
163,11/25/21 01:00:00 午前,21.294,,,,,
164,11/25/21 02:00:00 午前,21.294,,,,,
165,11/25/21 03:00:00 午前,21.294,,,,,
166,11/25/21 04:00:00 午前,21.246,,,,,
167,11/25/21 05:00:00 午前,21.294,,,,,
