プロット タイトル: site10_spot002_2023,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20922257, SEN S/N: 20922257)",カプラー取り外し (LGR S/N: 20922257),カプラー取り付け (LGR S/N: 20922257),ホスト接続 (LGR S/N: 20922257),停止済み (LGR S/N: 20922257),ファイルの終わり (LGR S/N: 20922257)
1,12/28/22 09:00:00 午前,17.486,記録,,,,
2,12/28/22 10:00:00 午前,20.341,,,,,
3,12/28/22 11:00:00 午前,21.843,,,,,
4,12/28/22 12:00:00 午後,22.489,,,,,
5,12/28/22 01:00:00 午後,23.016,,,,,
6,12/28/22 02:00:00 午後,23.064,,,,,
7,12/28/22 03:00:00 午後,22.896,,,,,
8,12/28/22 04:00:00 午後,22.8,,,,,
9,12/28/22 05:00:00 午後,22.633,,,,,
10,12/28/22 06:00:00 午後,22.465,,,,,
11,12/28/22 07:00:00 午後,22.489,,,,,
12,12/28/22 08:00:00 午後,22.537,,,,,
13,12/28/22 09:00:00 午後,22.633,,,,,
14,12/28/22 10:00:00 午後,22.729,,,,,
15,12/28/22 11:00:00 午後,22.776,,,,,
16,12/29/22 12:00:00 午前,22.848,,,,,
17,12/29/22 01:00:00 午前,22.824,,,,,
18,12/29/22 02:00:00 午前,22.729,,,,,
19,12/29/22 03:00:00 午前,22.609,,,,,
20,12/29/22 04:00:00 午前,22.705,,,,,
21,12/29/22 05:00:00 午前,22.776,,,,,
22,12/29/22 06:00:00 午前,22.8,,,,,
23,12/29/22 07:00:00 午前,22.824,,,,,
24,12/29/22 08:00:00 午前,22.848,,,,,
25,12/29/22 09:00:00 午前,22.872,,,,,
26,12/29/22 10:00:00 午前,22.944,,,,,
27,12/29/22 11:00:00 午前,22.992,,,,,
28,12/29/22 12:00:00 午後,22.992,,,,,
29,12/29/22 01:00:00 午後,23.016,,,,,
30,12/29/22 02:00:00 午後,23.04,,,,,
31,12/29/22 03:00:00 午後,22.992,,,,,
32,12/29/22 04:00:00 午後,22.968,,,,,
33,12/29/22 05:00:00 午後,22.92,,,,,
34,12/29/22 06:00:00 午後,22.896,,,,,
35,12/29/22 07:00:00 午後,22.896,,,,,
36,12/29/22 08:00:00 午後,22.896,,,,,
37,12/29/22 09:00:00 午後,22.896,,,,,
38,12/29/22 10:00:00 午後,22.896,,,,,
39,12/29/22 11:00:00 午後,22.92,,,,,
40,12/30/22 12:00:00 午前,22.92,,,,,
41,12/30/22 01:00:00 午前,22.896,,,,,
42,12/30/22 02:00:00 午前,22.872,,,,,
43,12/30/22 03:00:00 午前,22.872,,,,,
44,12/30/22 04:00:00 午前,22.872,,,,,
45,12/30/22 05:00:00 午前,22.848,,,,,
46,12/30/22 06:00:00 午前,22.824,,,,,
47,12/30/22 07:00:00 午前,22.8,,,,,
48,12/30/22 08:00:00 午前,22.8,,,,,
49,12/30/22 09:00:00 午前,22.8,,,,,
50,12/30/22 10:00:00 午前,22.8,,,,,
51,12/30/22 11:00:00 午前,22.896,,,,,
52,12/30/22 12:00:00 午後,22.92,,,,,
53,12/30/22 01:00:00 午後,22.944,,,,,
54,12/30/22 02:00:00 午後,22.968,,,,,
55,12/30/22 03:00:00 午後,22.992,,,,,
56,12/30/22 04:00:00 午後,22.968,,,,,
57,12/30/22 05:00:00 午後,22.968,,,,,
58,12/30/22 06:00:00 午後,22.968,,,,,
59,12/30/22 07:00:00 午後,22.968,,,,,
60,12/30/22 08:00:00 午後,22.968,,,,,
61,12/30/22 09:00:00 午後,22.968,,,,,
62,12/30/22 10:00:00 午後,22.968,,,,,
63,12/30/22 11:00:00 午後,22.968,,,,,
64,12/31/22 12:00:00 午前,22.968,,,,,
65,12/31/22 01:00:00 午前,22.968,,,,,
66,12/31/22 02:00:00 午前,22.968,,,,,
67,12/31/22 03:00:00 午前,22.968,,,,,
68,12/31/22 04:00:00 午前,22.944,,,,,
69,12/31/22 05:00:00 午前,22.944,,,,,
70,12/31/22 06:00:00 午前,22.944,,,,,
71,12/31/22 07:00:00 午前,22.92,,,,,
72,12/31/22 08:00:00 午前,22.92,,,,,
73,12/31/22 09:00:00 午前,22.896,,,,,
74,12/31/22 10:00:00 午前,22.92,,,,,
75,12/31/22 11:00:00 午前,22.92,,,,,
76,12/31/22 12:00:00 午後,22.944,,,,,
77,12/31/22 01:00:00 午後,22.944,,,,,
78,12/31/22 02:00:00 午後,22.968,,,,,
79,12/31/22 03:00:00 午後,22.992,,,,,
80,12/31/22 04:00:00 午後,23.016,,,,,
81,12/31/22 05:00:00 午後,22.992,,,,,
