プロット タイトル: site21_spot011_2023,,,,,,,,,
#,"日付 時間, GMT+09:00","温度, °F (LGR S/N: 20054297, SEN S/N: 20054297, LBL: ℃)",カプラー取り外し (LGR S/N: 20054297),カプラー取り付け (LGR S/N: 20054297),ホスト接続 (LGR S/N: 20054297),停止済み (LGR S/N: 20054297),ファイルの終わり (LGR S/N: 20054297),"温度, °C",
131,01/05/23 09:00:00 午後,63.689,,,,,,17.605,
132,01/05/23 10:00:00 午後,63.648,,,,,,17.58222222,
133,01/05/23 11:00:00 午後,63.561,,,,,,17.53388889,
134,01/06/23 12:00:00 午前,63.475,,,,,,17.48611111,
135,01/06/23 01:00:00 午前,63.561,,,,,,17.53388889,
136,01/06/23 02:00:00 午前,63.604,,,,,,17.55777778,
137,01/06/23 03:00:00 午前,63.604,,,,,,17.55777778,
138,01/06/23 04:00:00 午前,63.518,,,,,,17.51,
139,01/06/23 05:00:00 午前,63.561,,,,,,17.53388889,
140,01/06/23 06:00:00 午前,63.604,,,,,,17.55777778,
141,01/06/23 07:00:00 午前,63.475,,,,,,17.48611111,
142,01/06/23 08:00:00 午前,63.518,,,,,,17.51,
143,01/06/23 09:00:00 午前,63.518,,,,,,17.51,
144,01/06/23 10:00:00 午前,63.604,,,,,,17.55777778,
145,01/06/23 11:00:00 午前,63.648,,,,,,17.58222222,
146,01/06/23 12:00:00 午後,63.732,,,,,,17.62888889,
147,01/06/23 01:00:00 午後,63.99,,,,,,17.77222222,
148,01/06/23 02:00:00 午後,64.033,,,,,,17.79611111,
149,01/06/23 03:00:00 午後,64.033,,,,,,17.79611111,
150,01/06/23 04:00:00 午後,63.903,,,,,,17.72388889,
151,01/06/23 05:00:00 午後,63.819,,,,,,17.67722222,
152,01/06/23 06:00:00 午後,63.732,,,,,,17.62888889,
153,01/06/23 07:00:00 午後,63.732,,,,,,17.62888889,
154,01/06/23 08:00:00 午後,63.518,,,,,,17.51,
155,01/06/23 09:00:00 午後,63.39,,,,,,17.43888889,
156,01/06/23 10:00:00 午後,63.39,,,,,,17.43888889,
157,01/06/23 11:00:00 午後,63.133,,,,,,17.29611111,
158,01/07/23 12:00:00 午前,63.262,,,,,,17.36777778,
159,01/07/23 01:00:00 午前,63.304,,,,,,17.39111111,
160,01/07/23 02:00:00 午前,63.347,,,,,,17.415,
161,01/07/23 03:00:00 午前,63.262,,,,,,17.36777778,
162,01/07/23 04:00:00 午前,63.475,,,,,,17.48611111,
163,01/07/23 05:00:00 午前,63.39,,,,,,17.43888889,
164,01/07/23 06:00:00 午前,63.862,,,,,,17.70111111,
165,01/07/23 07:00:00 午前,63.946,,,,,,17.74777778,
166,01/07/23 08:00:00 午前,64.117,,,,,,17.84277778,
167,01/07/23 09:00:00 午前,64.288,,,,,,17.93777778,
168,01/07/23 10:00:00 午前,64.418,,,,,,18.01,
169,01/07/23 11:00:00 午前,64.459,,,,,,18.03277778,
170,01/07/23 12:00:00 午後,64.589,,,,,,18.105,
171,01/07/23 01:00:00 午後,64.589,,,,,,18.105,
172,01/07/23 02:00:00 午後,64.76,,,,,,18.2,
173,01/07/23 03:00:00 午後,64.717,,,,,,18.17611111,
174,01/07/23 04:00:00 午後,64.76,,,,,,18.2,
175,01/07/23 05:00:00 午後,64.76,,,,,,18.2,
176,01/07/23 06:00:00 午後,64.632,,,,,,18.12888889,
177,01/07/23 07:00:00 午後,64.589,,,,,,18.105,
178,01/07/23 08:00:00 午後,64.459,,,,,,18.03277778,
179,01/07/23 09:00:00 午後,64.247,,,,,,17.915,
180,01/07/23 10:00:00 午後,64.161,,,,,,17.86722222,
181,01/07/23 11:00:00 午後,63.775,,,,,,17.65277778,
182,01/08/23 12:00:00 午前,63.862,,,,,,17.70111111,
183,01/08/23 01:00:00 午前,63.99,,,,,,17.77222222,
184,01/08/23 02:00:00 午前,64.033,,,,,,17.79611111,
185,01/08/23 03:00:00 午前,64.117,,,,,,17.84277778,
186,01/08/23 04:00:00 午前,63.903,,,,,,17.72388889,
187,01/08/23 05:00:00 午前,64.074,,,,,,17.81888889,
188,01/08/23 06:00:00 午前,64.247,,,,,,17.915,
189,01/08/23 07:00:00 午前,64.503,,,,,,18.05722222,
190,01/08/23 08:00:00 午前,64.589,,,,,,18.105,
191,01/08/23 09:00:00 午前,64.589,,,,,,18.105,
192,01/08/23 10:00:00 午前,64.375,,,,,,17.98611111,
193,01/08/23 11:00:00 午前,64.288,,,,,,17.93777778,
194,01/08/23 12:00:00 午後,64.375,,,,,,17.98611111,
195,01/08/23 01:00:00 午後,64.418,,,,,,18.01,
196,01/08/23 02:00:00 午後,64.76,,,,,,18.2,
197,01/08/23 03:00:00 午後,64.845,,,,,,18.24722222,
198,01/08/23 04:00:00 午後,64.803,,,,,,18.22388889,
199,01/08/23 05:00:00 午後,64.674,,,,,,18.15222222,
200,01/08/23 06:00:00 午後,64.632,,,,,,18.12888889,
201,01/08/23 07:00:00 午後,64.845,,,,,,18.24722222,
202,01/08/23 08:00:00 午後,64.803,,,,,,18.22388889,
203,01/08/23 09:00:00 午後,64.717,,,,,,18.17611111,
204,01/08/23 10:00:00 午後,64.674,,,,,,18.15222222,
205,01/08/23 11:00:00 午後,64.589,,,,,,18.105,
206,01/09/23 12:00:00 午前,64.375,,,,,,17.98611111,
207,01/09/23 01:00:00 午前,64.288,,,,,,17.93777778,
208,01/09/23 02:00:00 午前,64.332,,,,,,17.96222222,
209,01/09/23 03:00:00 午前,64.459,,,,,,18.03277778,
210,01/09/23 04:00:00 午前,64.375,,,,,,17.98611111,
211,01/09/23 05:00:00 午前,64.459,,,,,,18.03277778,
212,01/09/23 06:00:00 午前,64.503,,,,,,18.05722222,
213,01/09/23 07:00:00 午前,64.546,,,,,,18.08111111,
214,01/09/23 08:00:00 午前,64.546,,,,,,18.08111111,
215,01/09/23 09:00:00 午前,64.632,,,,,,18.12888889,
