プロット タイトル: site21_spot011_2023,,,,,,,,,
#,"日付 時間, GMT+09:00","温度, °F (LGR S/N: 20054297, SEN S/N: 20054297, LBL: ℃)",カプラー取り外し (LGR S/N: 20054297),カプラー取り付け (LGR S/N: 20054297),ホスト接続 (LGR S/N: 20054297),停止済み (LGR S/N: 20054297),ファイルの終わり (LGR S/N: 20054297),"温度, °C",
884,02/06/23 06:00:00 午前,63.133,,,,,,17.29611111,
885,02/06/23 07:00:00 午前,63.133,,,,,,17.29611111,
886,02/06/23 08:00:00 午前,63.09,,,,,,17.27222222,
887,02/06/23 09:00:00 午前,63.048,,,,,,17.24888889,
888,02/06/23 10:00:00 午前,63.048,,,,,,17.24888889,
889,02/06/23 11:00:00 午前,63.09,,,,,,17.27222222,
890,02/06/23 12:00:00 午後,63.518,,,,,,17.51,
891,02/06/23 01:00:00 午後,63.775,,,,,,17.65277778,
892,02/06/23 02:00:00 午後,63.732,,,,,,17.62888889,
893,02/06/23 03:00:00 午後,63.648,,,,,,17.58222222,
894,02/06/23 04:00:00 午後,63.689,,,,,,17.605,
895,02/06/23 05:00:00 午後,63.475,,,,,,17.48611111,
896,02/06/23 06:00:00 午後,63.433,,,,,,17.46277778,
897,02/06/23 07:00:00 午後,63.39,,,,,,17.43888889,
898,02/06/23 08:00:00 午後,63.304,,,,,,17.39111111,
899,02/06/23 09:00:00 午後,63.304,,,,,,17.39111111,
900,02/06/23 10:00:00 午後,63.262,,,,,,17.36777778,
901,02/06/23 11:00:00 午後,63.09,,,,,,17.27222222,
902,02/07/23 12:00:00 午前,63.005,,,,,,17.225,
903,02/07/23 01:00:00 午前,62.875,,,,,,17.15277778,
904,02/07/23 02:00:00 午前,63.048,,,,,,17.24888889,
905,02/07/23 03:00:00 午前,63.048,,,,,,17.24888889,
906,02/07/23 04:00:00 午前,63.048,,,,,,17.24888889,
907,02/07/23 05:00:00 午前,63.176,,,,,,17.32,
908,02/07/23 06:00:00 午前,63.304,,,,,,17.39111111,
909,02/07/23 07:00:00 午前,63.347,,,,,,17.415,
910,02/07/23 08:00:00 午前,63.433,,,,,,17.46277778,
911,02/07/23 09:00:00 午前,63.39,,,,,,17.43888889,
912,02/07/23 10:00:00 午前,63.39,,,,,,17.43888889,
913,02/07/23 11:00:00 午前,63.433,,,,,,17.46277778,
914,02/07/23 12:00:00 午後,63.475,,,,,,17.48611111,
915,02/07/23 01:00:00 午後,63.475,,,,,,17.48611111,
916,02/07/23 02:00:00 午後,63.561,,,,,,17.53388889,
917,02/07/23 03:00:00 午後,63.604,,,,,,17.55777778,
918,02/07/23 04:00:00 午後,63.561,,,,,,17.53388889,
919,02/07/23 05:00:00 午後,63.475,,,,,,17.48611111,
920,02/07/23 06:00:00 午後,63.433,,,,,,17.46277778,
921,02/07/23 07:00:00 午後,63.433,,,,,,17.46277778,
922,02/07/23 08:00:00 午後,63.347,,,,,,17.415,
923,02/07/23 09:00:00 午後,63.304,,,,,,17.39111111,
924,02/07/23 10:00:00 午後,63.262,,,,,,17.36777778,
925,02/07/23 11:00:00 午後,63.176,,,,,,17.32,
926,02/08/23 12:00:00 午前,63.005,,,,,,17.225,
927,02/08/23 01:00:00 午前,62.704,,,,,,17.05777778,
928,02/08/23 02:00:00 午前,62.748,,,,,,17.08222222,
929,02/08/23 03:00:00 午前,62.791,,,,,,17.10611111,
930,02/08/23 04:00:00 午前,62.875,,,,,,17.15277778,
931,02/08/23 05:00:00 午前,62.834,,,,,,17.13,
932,02/08/23 06:00:00 午前,62.919,,,,,,17.17722222,
933,02/08/23 07:00:00 午前,62.919,,,,,,17.17722222,
934,02/08/23 08:00:00 午前,62.919,,,,,,17.17722222,
935,02/08/23 09:00:00 午前,62.919,,,,,,17.17722222,
936,02/08/23 10:00:00 午前,62.919,,,,,,17.17722222,
937,02/08/23 11:00:00 午前,62.962,,,,,,17.20111111,
938,02/08/23 12:00:00 午後,63.09,,,,,,17.27222222,
939,02/08/23 01:00:00 午後,63.262,,,,,,17.36777778,
940,02/08/23 02:00:00 午後,63.475,,,,,,17.48611111,
941,02/08/23 03:00:00 午後,63.518,,,,,,17.51,
942,02/08/23 04:00:00 午後,63.518,,,,,,17.51,
943,02/08/23 05:00:00 午後,63.604,,,,,,17.55777778,
944,02/08/23 06:00:00 午後,63.561,,,,,,17.53388889,
945,02/08/23 07:00:00 午後,63.475,,,,,,17.48611111,
946,02/08/23 08:00:00 午後,63.39,,,,,,17.43888889,
947,02/08/23 09:00:00 午後,63.39,,,,,,17.43888889,
948,02/08/23 10:00:00 午後,63.39,,,,,,17.43888889,
949,02/08/23 11:00:00 午後,63.304,,,,,,17.39111111,
950,02/09/23 12:00:00 午前,63.09,,,,,,17.27222222,
951,02/09/23 01:00:00 午前,63.048,,,,,,17.24888889,
952,02/09/23 02:00:00 午前,63.09,,,,,,17.27222222,
953,02/09/23 03:00:00 午前,62.962,,,,,,17.20111111,
954,02/09/23 04:00:00 午前,63.219,,,,,,17.34388889,
955,02/09/23 05:00:00 午前,63.433,,,,,,17.46277778,
956,02/09/23 06:00:00 午前,63.433,,,,,,17.46277778,
957,02/09/23 07:00:00 午前,63.262,,,,,,17.36777778,
958,02/09/23 08:00:00 午前,63.347,,,,,,17.415,
959,02/09/23 09:00:00 午前,63.475,,,,,,17.48611111,
960,02/09/23 10:00:00 午前,63.475,,,,,,17.48611111,
961,02/09/23 11:00:00 午前,63.561,,,,,,17.53388889,
962,02/09/23 12:00:00 午後,63.689,,,,,,17.605,
963,02/09/23 01:00:00 午後,63.862,,,,,,17.70111111,
964,02/09/23 02:00:00 午後,63.99,,,,,,17.77222222,
965,02/09/23 03:00:00 午後,64.033,,,,,,17.79611111,
966,02/09/23 04:00:00 午後,64.033,,,,,,17.79611111,
967,02/09/23 05:00:00 午後,63.99,,,,,,17.77222222,
968,02/09/23 06:00:00 午後,63.903,,,,,,17.72388889,
969,02/09/23 07:00:00 午後,63.775,,,,,,17.65277778,
970,02/09/23 08:00:00 午後,63.689,,,,,,17.605,
971,02/09/23 09:00:00 午後,63.604,,,,,,17.55777778,
972,02/09/23 10:00:00 午後,63.518,,,,,,17.51,
973,02/09/23 11:00:00 午後,63.433,,,,,,17.46277778,
974,02/10/23 12:00:00 午前,63.262,,,,,,17.36777778,
975,02/10/23 01:00:00 午前,63.219,,,,,,17.34388889,
976,02/10/23 02:00:00 午前,63.133,,,,,,17.29611111,
977,02/10/23 03:00:00 午前,63.048,,,,,,17.24888889,
978,02/10/23 04:00:00 午前,63.005,,,,,,17.225,
979,02/10/23 05:00:00 午前,63.048,,,,,,17.24888889,
980,02/10/23 06:00:00 午前,63.048,,,,,,17.24888889,
981,02/10/23 07:00:00 午前,63.133,,,,,,17.29611111,
982,02/10/23 08:00:00 午前,63.133,,,,,,17.29611111,
983,02/10/23 09:00:00 午前,63.133,,,,,,17.29611111,
984,02/10/23 10:00:00 午前,63.048,,,,,,17.24888889,
985,02/10/23 11:00:00 午前,63.048,,,,,,17.24888889,
986,02/10/23 12:00:00 午後,63.005,,,,,,17.225,
987,02/10/23 01:00:00 午後,63.09,,,,,,17.27222222,
988,02/10/23 02:00:00 午後,63.09,,,,,,17.27222222,
989,02/10/23 03:00:00 午後,63.09,,,,,,17.27222222,
990,02/10/23 04:00:00 午後,63.09,,,,,,17.27222222,
991,02/10/23 05:00:00 午後,63.048,,,,,,17.24888889,
992,02/10/23 06:00:00 午後,63.09,,,,,,17.27222222,
993,02/10/23 07:00:00 午後,63.09,,,,,,17.27222222,
994,02/10/23 08:00:00 午後,63.133,,,,,,17.29611111,
995,02/10/23 09:00:00 午後,63.219,,,,,,17.34388889,
996,02/10/23 10:00:00 午後,63.09,,,,,,17.27222222,
997,02/10/23 11:00:00 午後,62.748,,,,,,17.08222222,
998,02/11/23 12:00:00 午前,62.577,,,,,,16.98722222,
999,02/11/23 01:00:00 午前,62.533,,,,,,16.96277778,
1000,02/11/23 02:00:00 午前,62.49,,,,,,16.93888889,
1001,02/11/23 03:00:00 午前,62.447,,,,,,16.915,
1002,02/11/23 04:00:00 午前,62.406,,,,,,16.89222222,
1003,02/11/23 05:00:00 午前,62.406,,,,,,16.89222222,
1004,02/11/23 06:00:00 午前,62.362,,,,,,16.86777778,
1005,02/11/23 07:00:00 午前,62.319,,,,,,16.84388889,
1006,02/11/23 08:00:00 午前,62.276,,,,,,16.82,
1007,02/11/23 09:00:00 午前,62.533,,,,,,16.96277778,
1008,02/11/23 10:00:00 午前,62.62,,,,,,17.01111111,
1009,02/11/23 11:00:00 午前,62.62,,,,,,17.01111111,
1010,02/11/23 12:00:00 午後,62.834,,,,,,17.13,
1011,02/11/23 01:00:00 午後,62.919,,,,,,17.17722222,
1012,02/11/23 02:00:00 午後,63.005,,,,,,17.225,
1013,02/11/23 03:00:00 午後,63.176,,,,,,17.32,
1014,02/11/23 04:00:00 午後,63.262,,,,,,17.36777778,
1015,02/11/23 05:00:00 午後,63.304,,,,,,17.39111111,
1016,02/11/23 06:00:00 午後,63.219,,,,,,17.34388889,
1017,02/11/23 07:00:00 午後,63.219,,,,,,17.34388889,
1018,02/11/23 08:00:00 午後,63.133,,,,,,17.29611111,
1019,02/11/23 09:00:00 午後,63.176,,,,,,17.32,
1020,02/11/23 10:00:00 午後,63.176,,,,,,17.32,
1021,02/11/23 11:00:00 午後,63.176,,,,,,17.32,
1022,02/12/23 12:00:00 午前,63.09,,,,,,17.27222222,
1023,02/12/23 01:00:00 午前,62.875,,,,,,17.15277778,
1024,02/12/23 02:00:00 午前,62.62,,,,,,17.01111111,
1025,02/12/23 03:00:00 午前,62.661,,,,,,17.03388889,
1026,02/12/23 04:00:00 午前,62.661,,,,,,17.03388889,
1027,02/12/23 05:00:00 午前,62.577,,,,,,16.98722222,
1028,02/12/23 06:00:00 午前,62.748,,,,,,17.08222222,
1029,02/12/23 07:00:00 午前,62.834,,,,,,17.13,
1030,02/12/23 08:00:00 午前,62.875,,,,,,17.15277778,
1031,02/12/23 09:00:00 午前,62.962,,,,,,17.20111111,
1032,02/12/23 10:00:00 午前,63.048,,,,,,17.24888889,
1033,02/12/23 11:00:00 午前,63.304,,,,,,17.39111111,
1034,02/12/23 12:00:00 午後,63.518,,,,,,17.51,
1035,02/12/23 01:00:00 午後,63.518,,,,,,17.51,
1036,02/12/23 02:00:00 午後,63.689,,,,,,17.605,
1037,02/12/23 03:00:00 午後,63.775,,,,,,17.65277778,
1038,02/12/23 04:00:00 午後,63.862,,,,,,17.70111111,
1039,02/12/23 05:00:00 午後,63.903,,,,,,17.72388889,
1040,02/12/23 06:00:00 午後,63.862,,,,,,17.70111111,
1041,02/12/23 07:00:00 午後,63.819,,,,,,17.67722222,
1042,02/12/23 08:00:00 午後,63.732,,,,,,17.62888889,
1043,02/12/23 09:00:00 午後,63.732,,,,,,17.62888889,
1044,02/12/23 10:00:00 午後,63.648,,,,,,17.58222222,
1045,02/12/23 11:00:00 午後,63.648,,,,,,17.58222222,
1046,02/13/23 12:00:00 午前,63.561,,,,,,17.53388889,
1047,02/13/23 01:00:00 午前,63.561,,,,,,17.53388889,
1048,02/13/23 02:00:00 午前,63.475,,,,,,17.48611111,
1049,02/13/23 03:00:00 午前,63.219,,,,,,17.34388889,
1050,02/13/23 04:00:00 午前,63.219,,,,,,17.34388889,
1051,02/13/23 05:00:00 午前,63.048,,,,,,17.24888889,
1052,02/13/23 06:00:00 午前,63.176,,,,,,17.32,
1053,02/13/23 07:00:00 午前,63.262,,,,,,17.36777778,
1054,02/13/23 08:00:00 午前,63.262,,,,,,17.36777778,
1055,02/13/23 09:00:00 午前,63.475,,,,,,17.48611111,
1056,02/13/23 10:00:00 午前,63.475,,,,,,17.48611111,
1057,02/13/23 11:00:00 午前,63.433,,,,,,17.46277778,
1058,02/13/23 12:00:00 午後,63.475,,,,,,17.48611111,
1059,02/13/23 01:00:00 午後,63.518,,,,,,17.51,
1060,02/13/23 02:00:00 午後,63.561,,,,,,17.53388889,
1061,02/13/23 03:00:00 午後,63.604,,,,,,17.55777778,
1062,02/13/23 04:00:00 午後,63.648,,,,,,17.58222222,
1063,02/13/23 05:00:00 午後,63.648,,,,,,17.58222222,
1064,02/13/23 06:00:00 午後,63.39,,,,,,17.43888889,
1065,02/13/23 07:00:00 午後,63.475,,,,,,17.48611111,
1066,02/13/23 08:00:00 午後,63.262,,,,,,17.36777778,
1067,02/13/23 09:00:00 午後,63.262,,,,,,17.36777778,
1068,02/13/23 10:00:00 午後,63.304,,,,,,17.39111111,
1069,02/13/23 11:00:00 午後,63.133,,,,,,17.29611111,
1070,02/14/23 12:00:00 午前,63.176,,,,,,17.32,
1071,02/14/23 01:00:00 午前,63.133,,,,,,17.29611111,
1072,02/14/23 02:00:00 午前,63.005,,,,,,17.225,
1073,02/14/23 03:00:00 午前,63.005,,,,,,17.225,
1074,02/14/23 04:00:00 午前,62.791,,,,,,17.10611111,
1075,02/14/23 05:00:00 午前,62.62,,,,,,17.01111111,
1076,02/14/23 06:00:00 午前,62.49,,,,,,16.93888889,
1077,02/14/23 07:00:00 午前,62.447,,,,,,16.915,
1078,02/14/23 08:00:00 午前,62.533,,,,,,16.96277778,
1079,02/14/23 09:00:00 午前,62.661,,,,,,17.03388889,
1080,02/14/23 10:00:00 午前,62.834,,,,,,17.13,
1081,02/14/23 11:00:00 午前,63.005,,,,,,17.225,
1082,02/14/23 12:00:00 午後,63.219,,,,,,17.34388889,
1083,02/14/23 01:00:00 午後,63.262,,,,,,17.36777778,
1084,02/14/23 02:00:00 午後,63.304,,,,,,17.39111111,
1085,02/14/23 03:00:00 午後,63.347,,,,,,17.415,
1086,02/14/23 04:00:00 午後,63.304,,,,,,17.39111111,
1087,02/14/23 05:00:00 午後,63.219,,,,,,17.34388889,
1088,02/14/23 06:00:00 午後,63.219,,,,,,17.34388889,
1089,02/14/23 07:00:00 午後,63.048,,,,,,17.24888889,
1090,02/14/23 08:00:00 午後,62.748,,,,,,17.08222222,
1091,02/14/23 09:00:00 午後,62.661,,,,,,17.03388889,
1092,02/14/23 10:00:00 午後,62.704,,,,,,17.05777778,
1093,02/14/23 11:00:00 午後,62.577,,,,,,16.98722222,
1094,02/15/23 12:00:00 午前,62.62,,,,,,17.01111111,
1095,02/15/23 01:00:00 午前,62.577,,,,,,16.98722222,
1096,02/15/23 02:00:00 午前,62.49,,,,,,16.93888889,
1097,02/15/23 03:00:00 午前,62.406,,,,,,16.89222222,
1098,02/15/23 04:00:00 午前,62.406,,,,,,16.89222222,
1099,02/15/23 05:00:00 午前,62.362,,,,,,16.86777778,
1100,02/15/23 06:00:00 午前,62.233,,,,,,16.79611111,
1101,02/15/23 07:00:00 午前,62.233,,,,,,16.79611111,
1102,02/15/23 08:00:00 午前,62.191,,,,,,16.77277778,
1103,02/15/23 09:00:00 午前,62.191,,,,,,16.77277778,
1104,02/15/23 10:00:00 午前,62.276,,,,,,16.82,
1105,02/15/23 11:00:00 午前,62.447,,,,,,16.915,
1106,02/15/23 12:00:00 午後,62.62,,,,,,17.01111111,
1107,02/15/23 01:00:00 午後,62.875,,,,,,17.15277778,
1108,02/15/23 02:00:00 午後,63.005,,,,,,17.225,
1109,02/15/23 03:00:00 午後,63.09,,,,,,17.27222222,
1110,02/15/23 04:00:00 午後,63.176,,,,,,17.32,
1111,02/15/23 05:00:00 午後,63.09,,,,,,17.27222222,
1112,02/15/23 06:00:00 午後,62.875,,,,,,17.15277778,
1113,02/15/23 07:00:00 午後,62.875,,,,,,17.15277778,
1114,02/15/23 08:00:00 午後,62.704,,,,,,17.05777778,
1115,02/15/23 09:00:00 午後,62.447,,,,,,16.915,
1116,02/15/23 10:00:00 午後,62.233,,,,,,16.79611111,
1117,02/15/23 11:00:00 午後,62.233,,,,,,16.79611111,
1118,02/16/23 12:00:00 午前,62.276,,,,,,16.82,
1119,02/16/23 01:00:00 午前,62.148,,,,,,16.74888889,
1120,02/16/23 02:00:00 午前,62.191,,,,,,16.77277778,
1121,02/16/23 03:00:00 午前,62.105,,,,,,16.725,
1122,02/16/23 04:00:00 午前,61.891,,,,,,16.60611111,
1123,02/16/23 05:00:00 午前,61.761,,,,,,16.53388889,
1124,02/16/23 06:00:00 午前,61.633,,,,,,16.46277778,
1125,02/16/23 07:00:00 午前,61.59,,,,,,16.43888889,
1126,02/16/23 08:00:00 午前,61.506,,,,,,16.39222222,
1127,02/16/23 09:00:00 午前,61.419,,,,,,16.34388889,
1128,02/16/23 10:00:00 午前,61.547,,,,,,16.415,
1129,02/16/23 11:00:00 午前,61.934,,,,,,16.63,
1130,02/16/23 12:00:00 午後,62.191,,,,,,16.77277778,
1131,02/16/23 01:00:00 午後,62.533,,,,,,16.96277778,
1132,02/16/23 02:00:00 午後,62.875,,,,,,17.15277778,
1133,02/16/23 03:00:00 午後,63.133,,,,,,17.29611111,
1134,02/16/23 04:00:00 午後,63.262,,,,,,17.36777778,
1135,02/16/23 05:00:00 午後,63.176,,,,,,17.32,
1136,02/16/23 06:00:00 午後,63.048,,,,,,17.24888889,
1137,02/16/23 07:00:00 午後,62.919,,,,,,17.17722222,
1138,02/16/23 08:00:00 午後,62.834,,,,,,17.13,
1139,02/16/23 09:00:00 午後,62.704,,,,,,17.05777778,
1140,02/16/23 10:00:00 午後,62.447,,,,,,16.915,
1141,02/16/23 11:00:00 午後,62.276,,,,,,16.82,
1142,02/17/23 12:00:00 午前,62.191,,,,,,16.77277778,
1143,02/17/23 01:00:00 午前,62.49,,,,,,16.93888889,
1144,02/17/23 02:00:00 午前,62.276,,,,,,16.82,
1145,02/17/23 03:00:00 午前,62.319,,,,,,16.84388889,
1146,02/17/23 04:00:00 午前,62.276,,,,,,16.82,
1147,02/17/23 05:00:00 午前,62.148,,,,,,16.74888889,
1148,02/17/23 06:00:00 午前,62.105,,,,,,16.725,
1149,02/17/23 07:00:00 午前,61.848,,,,,,16.58222222,
1150,02/17/23 08:00:00 午前,61.761,,,,,,16.53388889,
1151,02/17/23 09:00:00 午前,62.191,,,,,,16.77277778,
1152,02/17/23 10:00:00 午前,62.319,,,,,,16.84388889,
1153,02/17/23 11:00:00 午前,62.319,,,,,,16.84388889,
1154,02/17/23 12:00:00 午後,62.704,,,,,,17.05777778,
1155,02/17/23 01:00:00 午後,62.875,,,,,,17.15277778,
1156,02/17/23 02:00:00 午後,62.962,,,,,,17.20111111,
1157,02/17/23 03:00:00 午後,63.048,,,,,,17.24888889,
1158,02/17/23 04:00:00 午後,63.048,,,,,,17.24888889,
1159,02/17/23 05:00:00 午後,63.048,,,,,,17.24888889,
1160,02/17/23 06:00:00 午後,62.962,,,,,,17.20111111,
1161,02/17/23 07:00:00 午後,62.834,,,,,,17.13,
1162,02/17/23 08:00:00 午後,62.704,,,,,,17.05777778,
1163,02/17/23 09:00:00 午後,62.577,,,,,,16.98722222,
1164,02/17/23 10:00:00 午後,62.276,,,,,,16.82,
1165,02/17/23 11:00:00 午後,62.362,,,,,,16.86777778,
1166,02/18/23 12:00:00 午前,62.148,,,,,,16.74888889,
1167,02/18/23 01:00:00 午前,62.148,,,,,,16.74888889,
1168,02/18/23 02:00:00 午前,62.105,,,,,,16.725,
1169,02/18/23 03:00:00 午前,62.191,,,,,,16.77277778,
1170,02/18/23 04:00:00 午前,62.276,,,,,,16.82,
1171,02/18/23 05:00:00 午前,62.191,,,,,,16.77277778,
1172,02/18/23 06:00:00 午前,62.148,,,,,,16.74888889,
1173,02/18/23 07:00:00 午前,62.105,,,,,,16.725,
1174,02/18/23 08:00:00 午前,62.148,,,,,,16.74888889,
1175,02/18/23 09:00:00 午前,62.233,,,,,,16.79611111,
1176,02/18/23 10:00:00 午前,62.406,,,,,,16.89222222,
1177,02/18/23 11:00:00 午前,62.661,,,,,,17.03388889,
1178,02/18/23 12:00:00 午後,62.661,,,,,,17.03388889,
1179,02/18/23 01:00:00 午後,62.919,,,,,,17.17722222,
1180,02/18/23 02:00:00 午後,63.048,,,,,,17.24888889,
1181,02/18/23 03:00:00 午後,63.133,,,,,,17.29611111,
1182,02/18/23 04:00:00 午後,63.176,,,,,,17.32,
1183,02/18/23 05:00:00 午後,63.219,,,,,,17.34388889,
1184,02/18/23 06:00:00 午後,63.176,,,,,,17.32,
1185,02/18/23 07:00:00 午後,63.133,,,,,,17.29611111,
1186,02/18/23 08:00:00 午後,63.09,,,,,,17.27222222,
1187,02/18/23 09:00:00 午後,63.048,,,,,,17.24888889,
1188,02/18/23 10:00:00 午後,62.962,,,,,,17.20111111,
1189,02/18/23 11:00:00 午後,62.875,,,,,,17.15277778,
1190,02/19/23 12:00:00 午前,62.834,,,,,,17.13,
1191,02/19/23 01:00:00 午前,62.791,,,,,,17.10611111,
1192,02/19/23 02:00:00 午前,62.791,,,,,,17.10611111,
1193,02/19/23 03:00:00 午前,62.748,,,,,,17.08222222,
1194,02/19/23 04:00:00 午前,62.704,,,,,,17.05777778,
1195,02/19/23 05:00:00 午前,62.748,,,,,,17.08222222,
1196,02/19/23 06:00:00 午前,62.962,,,,,,17.20111111,
1197,02/19/23 07:00:00 午前,63.09,,,,,,17.27222222,
1198,02/19/23 08:00:00 午前,63.09,,,,,,17.27222222,
1199,02/19/23 09:00:00 午前,63.005,,,,,,17.225,
1200,02/19/23 10:00:00 午前,63.005,,,,,,17.225,
1201,02/19/23 11:00:00 午前,63.048,,,,,,17.24888889,
1202,02/19/23 12:00:00 午後,63.048,,,,,,17.24888889,
1203,02/19/23 01:00:00 午後,63.048,,,,,,17.24888889,
1204,02/19/23 02:00:00 午後,63.09,,,,,,17.27222222,
1205,02/19/23 03:00:00 午後,63.09,,,,,,17.27222222,
1206,02/19/23 04:00:00 午後,63.048,,,,,,17.24888889,
1207,02/19/23 05:00:00 午後,63.048,,,,,,17.24888889,
1208,02/19/23 06:00:00 午後,62.962,,,,,,17.20111111,
1209,02/19/23 07:00:00 午後,62.875,,,,,,17.15277778,
1210,02/19/23 08:00:00 午後,62.704,,,,,,17.05777778,
1211,02/19/23 09:00:00 午後,62.577,,,,,,16.98722222,
1212,02/19/23 10:00:00 午後,62.447,,,,,,16.915,
1213,02/19/23 11:00:00 午後,62.319,,,,,,16.84388889,
1214,02/20/23 12:00:00 午前,62.276,,,,,,16.82,
1215,02/20/23 01:00:00 午前,62.148,,,,,,16.74888889,
1216,02/20/23 02:00:00 午前,62.019,,,,,,16.67722222,
1217,02/20/23 03:00:00 午前,62.019,,,,,,16.67722222,
1218,02/20/23 04:00:00 午前,61.804,,,,,,16.55777778,
1219,02/20/23 05:00:00 午前,62.191,,,,,,16.77277778,
1220,02/20/23 06:00:00 午前,62.191,,,,,,16.77277778,
1221,02/20/23 07:00:00 午前,62.362,,,,,,16.86777778,
1222,02/20/23 08:00:00 午前,62.105,,,,,,16.725,
1223,02/20/23 09:00:00 午前,62.105,,,,,,16.725,
1224,02/20/23 10:00:00 午前,62.191,,,,,,16.77277778,
1225,02/20/23 11:00:00 午前,62.276,,,,,,16.82,
1226,02/20/23 12:00:00 午後,62.447,,,,,,16.915,
1227,02/20/23 01:00:00 午後,62.577,,,,,,16.98722222,
1228,02/20/23 02:00:00 午後,62.704,,,,,,17.05777778,
1229,02/20/23 03:00:00 午後,62.704,,,,,,17.05777778,
1230,02/20/23 04:00:00 午後,62.62,,,,,,17.01111111,
1231,02/20/23 05:00:00 午後,62.577,,,,,,16.98722222,
1232,02/20/23 06:00:00 午後,62.447,,,,,,16.915,
1233,02/20/23 07:00:00 午後,62.276,,,,,,16.82,
1234,02/20/23 08:00:00 午後,62.148,,,,,,16.74888889,
1235,02/20/23 09:00:00 午後,61.934,,,,,,16.63,
1236,02/20/23 10:00:00 午後,61.677,,,,,,16.48722222,
1237,02/20/23 11:00:00 午後,61.333,,,,,,16.29611111,
1238,02/21/23 12:00:00 午前,61.119,,,,,,16.17722222,
1239,02/21/23 01:00:00 午前,61.032,,,,,,16.12888889,
1240,02/21/23 02:00:00 午前,60.948,,,,,,16.08222222,
1241,02/21/23 03:00:00 午前,61.29,,,,,,16.27222222,
1242,02/21/23 04:00:00 午前,61.248,,,,,,16.24888889,
1243,02/21/23 05:00:00 午前,61.419,,,,,,16.34388889,
1244,02/21/23 06:00:00 午前,61.462,,,,,,16.36777778,
1245,02/21/23 07:00:00 午前,61.547,,,,,,16.415,
1246,02/21/23 08:00:00 午前,61.506,,,,,,16.39222222,
1247,02/21/23 09:00:00 午前,61.677,,,,,,16.48722222,
1248,02/21/23 10:00:00 午前,61.891,,,,,,16.60611111,
1249,02/21/23 11:00:00 午前,61.977,,,,,,16.65388889,
1250,02/21/23 12:00:00 午後,62.019,,,,,,16.67722222,
1251,02/21/23 01:00:00 午後,62.062,,,,,,16.70111111,
1252,02/21/23 02:00:00 午後,62.191,,,,,,16.77277778,
1253,02/21/23 03:00:00 午後,62.148,,,,,,16.74888889,
1254,02/21/23 04:00:00 午後,62.191,,,,,,16.77277778,
1255,02/21/23 05:00:00 午後,62.148,,,,,,16.74888889,
1256,02/21/23 06:00:00 午後,62.019,,,,,,16.67722222,
1257,02/21/23 07:00:00 午後,62.019,,,,,,16.67722222,
1258,02/21/23 08:00:00 午後,61.891,,,,,,16.60611111,
1259,02/21/23 09:00:00 午後,61.761,,,,,,16.53388889,
1260,02/21/23 10:00:00 午後,61.633,,,,,,16.46277778,
1261,02/21/23 11:00:00 午後,61.506,,,,,,16.39222222,
1262,02/22/23 12:00:00 午前,61.162,,,,,,16.20111111,
1263,02/22/23 01:00:00 午前,60.904,,,,,,16.05777778,
1264,02/22/23 02:00:00 午前,60.733,,,,,,15.96277778,
1265,02/22/23 03:00:00 午前,60.818,,,,,,16.01,
1266,02/22/23 04:00:00 午前,60.818,,,,,,16.01,
1267,02/22/23 05:00:00 午前,60.904,,,,,,16.05777778,
1268,02/22/23 06:00:00 午前,60.861,,,,,,16.03388889,
1269,02/22/23 07:00:00 午前,60.818,,,,,,16.01,
1270,02/22/23 08:00:00 午前,60.818,,,,,,16.01,
1271,02/22/23 09:00:00 午前,60.733,,,,,,15.96277778,
1272,02/22/23 10:00:00 午前,60.604,,,,,,15.89111111,
1273,02/22/23 11:00:00 午前,61.032,,,,,,16.12888889,
1274,02/22/23 12:00:00 午後,61.075,,,,,,16.15277778,
1275,02/22/23 01:00:00 午後,61.547,,,,,,16.415,
1276,02/22/23 02:00:00 午後,61.72,,,,,,16.51111111,
1277,02/22/23 03:00:00 午後,61.891,,,,,,16.60611111,
1278,02/22/23 04:00:00 午後,61.934,,,,,,16.63,
1279,02/22/23 05:00:00 午後,62.019,,,,,,16.67722222,
1280,02/22/23 06:00:00 午後,61.934,,,,,,16.63,
1281,02/22/23 07:00:00 午後,61.848,,,,,,16.58222222,
1282,02/22/23 08:00:00 午後,61.804,,,,,,16.55777778,
1283,02/22/23 09:00:00 午後,61.72,,,,,,16.51111111,
1284,02/22/23 10:00:00 午後,61.633,,,,,,16.46277778,
1285,02/22/23 11:00:00 午後,61.547,,,,,,16.415,
1286,02/23/23 12:00:00 午前,61.419,,,,,,16.34388889,
1287,02/23/23 01:00:00 午前,61.205,,,,,,16.225,
1288,02/23/23 02:00:00 午前,60.904,,,,,,16.05777778,
1289,02/23/23 03:00:00 午前,60.991,,,,,,16.10611111,
1290,02/23/23 04:00:00 午前,60.948,,,,,,16.08222222,
1291,02/23/23 05:00:00 午前,60.948,,,,,,16.08222222,
1292,02/23/23 06:00:00 午前,60.861,,,,,,16.03388889,
1293,02/23/23 07:00:00 午前,60.861,,,,,,16.03388889,
1294,02/23/23 08:00:00 午前,60.904,,,,,,16.05777778,
1295,02/23/23 09:00:00 午前,61.075,,,,,,16.15277778,
1296,02/23/23 10:00:00 午前,61.248,,,,,,16.24888889,
1297,02/23/23 11:00:00 午前,61.506,,,,,,16.39222222,
