プロット タイトル:site22_spot011_2023,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011400, SEN S/N: 21011400)"
132,01/11/23 09:00:00 午後,18.176
133,01/11/23 10:00:00 午後,18.057
134,01/11/23 11:00:00 午後,17.938
135,01/12/23 12:00:00 午前,17.891
136,01/12/23 01:00:00 午前,17.843
137,01/12/23 02:00:00 午前,17.915
138,01/12/23 03:00:00 午前,17.891
139,01/12/23 04:00:00 午前,17.986
140,01/12/23 05:00:00 午前,18.39
141,01/12/23 06:00:00 午前,18.628
142,01/12/23 07:00:00 午前,18.652
143,01/12/23 08:00:00 午前,18.771
144,01/12/23 09:00:00 午前,18.771
145,01/12/23 10:00:00 午前,18.628
146,01/12/23 11:00:00 午前,18.58
147,01/12/23 12:00:00 午後,18.557
148,01/12/23 01:00:00 午後,18.628
149,01/12/23 02:00:00 午後,18.913
150,01/12/23 03:00:00 午後,19.199
151,01/12/23 04:00:00 午後,19.199
152,01/12/23 05:00:00 午後,19.175
153,01/12/23 06:00:00 午後,19.151
154,01/12/23 07:00:00 午後,19.103
155,01/12/23 08:00:00 午後,19.008
156,01/12/23 09:00:00 午後,18.961
157,01/12/23 10:00:00 午後,18.913
158,01/12/23 11:00:00 午後,18.866
159,01/13/23 12:00:00 午前,18.747
160,01/13/23 01:00:00 午前,18.699
161,01/13/23 02:00:00 午前,18.628
162,01/13/23 03:00:00 午前,18.652
163,01/13/23 04:00:00 午前,18.747
164,01/13/23 05:00:00 午前,18.985
165,01/13/23 06:00:00 午前,18.985
166,01/13/23 07:00:00 午前,19.056
167,01/13/23 08:00:00 午前,19.08
168,01/13/23 09:00:00 午前,19.103
169,01/13/23 10:00:00 午前,19.199
170,01/13/23 11:00:00 午前,19.27
171,01/13/23 12:00:00 午後,19.365
172,01/13/23 01:00:00 午後,19.413
173,01/13/23 02:00:00 午後,19.389
174,01/13/23 03:00:00 午後,19.365
175,01/13/23 04:00:00 午後,19.318
176,01/13/23 05:00:00 午後,19.294
177,01/13/23 06:00:00 午後,19.246
178,01/13/23 07:00:00 午後,19.246
179,01/13/23 08:00:00 午後,19.27
180,01/13/23 09:00:00 午後,19.294
181,01/13/23 10:00:00 午後,19.318
182,01/13/23 11:00:00 午後,19.341
183,01/14/23 12:00:00 午前,19.413
184,01/14/23 01:00:00 午前,19.413
185,01/14/23 02:00:00 午前,19.413
186,01/14/23 03:00:00 午前,19.413
187,01/14/23 04:00:00 午前,19.413
188,01/14/23 05:00:00 午前,19.389
189,01/14/23 06:00:00 午前,19.389
190,01/14/23 07:00:00 午前,19.389
191,01/14/23 08:00:00 午前,19.365
192,01/14/23 09:00:00 午前,19.341
193,01/14/23 10:00:00 午前,19.341
194,01/14/23 11:00:00 午前,19.389
195,01/14/23 12:00:00 午後,19.389
196,01/14/23 01:00:00 午後,19.389
197,01/14/23 02:00:00 午後,19.389
198,01/14/23 03:00:00 午後,19.413
199,01/14/23 04:00:00 午後,19.389
200,01/14/23 05:00:00 午後,19.389
201,01/14/23 06:00:00 午後,19.389
202,01/14/23 07:00:00 午後,19.389
203,01/14/23 08:00:00 午後,19.341
204,01/14/23 09:00:00 午後,19.294
205,01/14/23 10:00:00 午後,19.27
206,01/14/23 11:00:00 午後,19.246
207,01/15/23 12:00:00 午前,19.222
208,01/15/23 01:00:00 午前,19.222
209,01/15/23 02:00:00 午前,19.151
210,01/15/23 03:00:00 午前,19.08
211,01/15/23 04:00:00 午前,19.08
212,01/15/23 05:00:00 午前,19.103
213,01/15/23 06:00:00 午前,19.056
214,01/15/23 07:00:00 午前,18.985
215,01/15/23 08:00:00 午前,19.032
216,01/15/23 09:00:00 午前,19.08
217,01/15/23 10:00:00 午前,19.056
218,01/15/23 11:00:00 午前,19.056
219,01/15/23 12:00:00 午後,19.032
220,01/15/23 01:00:00 午後,19.08
221,01/15/23 02:00:00 午後,19.103
222,01/15/23 03:00:00 午後,19.103
223,01/15/23 04:00:00 午後,19.08
224,01/15/23 05:00:00 午後,19.032
225,01/15/23 06:00:00 午後,19.008
226,01/15/23 07:00:00 午後,18.937
227,01/15/23 08:00:00 午後,18.913
228,01/15/23 09:00:00 午後,18.842
229,01/15/23 10:00:00 午後,18.818
230,01/15/23 11:00:00 午後,18.818
231,01/16/23 12:00:00 午前,18.747
232,01/16/23 01:00:00 午前,18.699
233,01/16/23 02:00:00 午前,18.628
234,01/16/23 03:00:00 午前,18.557
235,01/16/23 04:00:00 午前,18.509
236,01/16/23 05:00:00 午前,18.414
237,01/16/23 06:00:00 午前,18.366
238,01/16/23 07:00:00 午前,18.319
239,01/16/23 08:00:00 午前,18.271
240,01/16/23 09:00:00 午前,18.247
241,01/16/23 10:00:00 午前,18.271
242,01/16/23 11:00:00 午前,18.366
243,01/16/23 12:00:00 午後,18.438
244,01/16/23 01:00:00 午後,18.438
245,01/16/23 02:00:00 午後,18.414
246,01/16/23 03:00:00 午後,18.343
247,01/16/23 04:00:00 午後,18.295
248,01/16/23 05:00:00 午後,18.152
249,01/16/23 06:00:00 午後,18.081
250,01/16/23 07:00:00 午後,18.105
251,01/16/23 08:00:00 午後,18.033
252,01/16/23 09:00:00 午後,17.962
253,01/16/23 10:00:00 午後,17.867
254,01/16/23 11:00:00 午後,17.748
255,01/17/23 12:00:00 午前,17.582
256,01/17/23 01:00:00 午前,17.558
257,01/17/23 02:00:00 午前,17.605
258,01/17/23 03:00:00 午前,17.629
259,01/17/23 04:00:00 午前,17.677
260,01/17/23 05:00:00 午前,17.724
261,01/17/23 06:00:00 午前,17.677
262,01/17/23 07:00:00 午前,17.701
263,01/17/23 08:00:00 午前,17.724
264,01/17/23 09:00:00 午前,17.819
265,01/17/23 10:00:00 午前,17.819
266,01/17/23 11:00:00 午前,17.915
267,01/17/23 12:00:00 午後,18.01
268,01/17/23 01:00:00 午後,18.033
269,01/17/23 02:00:00 午後,18.081
