プロット タイトル: site14_spot077_2023,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21155722, SEN S/N: 21155722)",カプラー取り外し (LGR S/N: 21155722),カプラー取り付け (LGR S/N: 21155722),ホスト接続 (LGR S/N: 21155722),停止済み (LGR S/N: 21155722),ファイルの終わり (LGR S/N: 21155722)
1,10/25/22 07:00:00 午前,25.72,記録,,,,
2,10/25/22 08:00:00 午前,22.8,,,,,
3,10/25/22 09:00:00 午前,26.304,,,,,
4,10/25/22 10:00:00 午前,26.426,,,,,
5,10/25/22 11:00:00 午前,26.5,,,,,
6,10/25/22 12:00:00 午後,26.402,,,,,
7,10/25/22 01:00:00 午後,26.402,,,,,
8,10/25/22 02:00:00 午後,26.304,,,,,
9,10/25/22 03:00:00 午後,26.329,,,,,
10,10/25/22 04:00:00 午後,26.231,,,,,
11,10/25/22 05:00:00 午後,26.231,,,,,
12,10/25/22 06:00:00 午後,26.182,,,,,
13,10/25/22 07:00:00 午後,26.109,,,,,
14,10/25/22 08:00:00 午後,26.158,,,,,
15,10/25/22 09:00:00 午後,26.426,,,,,
16,10/25/22 10:00:00 午後,26.329,,,,,
17,10/25/22 11:00:00 午後,26.304,,,,,
18,10/26/22 12:00:00 午前,26.207,,,,,
19,10/26/22 01:00:00 午前,26.036,,,,,
20,10/26/22 02:00:00 午前,25.89,,,,,
21,10/26/22 03:00:00 午前,25.793,,,,,
22,10/26/22 04:00:00 午前,26.158,,,,,
23,10/26/22 05:00:00 午前,26.207,,,,,
24,10/26/22 06:00:00 午前,26.256,,,,,
25,10/26/22 07:00:00 午前,26.304,,,,,
26,10/26/22 08:00:00 午前,26.353,,,,,
27,10/26/22 09:00:00 午前,26.329,,,,,
28,10/26/22 10:00:00 午前,26.329,,,,,
29,10/26/22 11:00:00 午前,26.353,,,,,
30,10/26/22 12:00:00 午後,26.378,,,,,
31,10/26/22 01:00:00 午後,26.524,,,,,
32,10/26/22 02:00:00 午後,26.622,,,,,
33,10/26/22 03:00:00 午後,26.72,,,,,
34,10/26/22 04:00:00 午後,26.475,,,,,
35,10/26/22 05:00:00 午後,26.426,,,,,
36,10/26/22 06:00:00 午後,26.353,,,,,
37,10/26/22 07:00:00 午後,26.256,,,,,
38,10/26/22 08:00:00 午後,26.28,,,,,
39,10/26/22 09:00:00 午後,26.475,,,,,
40,10/26/22 10:00:00 午後,26.426,,,,,
41,10/26/22 11:00:00 午後,26.475,,,,,
42,10/27/22 12:00:00 午前,26.475,,,,,
43,10/27/22 01:00:00 午前,26.378,,,,,
44,10/27/22 02:00:00 午前,26.256,,,,,
45,10/27/22 03:00:00 午前,26.134,,,,,
46,10/27/22 04:00:00 午前,26.036,,,,,
47,10/27/22 05:00:00 午前,26.256,,,,,
48,10/27/22 06:00:00 午前,26.28,,,,,
49,10/27/22 07:00:00 午前,26.329,,,,,
50,10/27/22 08:00:00 午前,26.329,,,,,
51,10/27/22 09:00:00 午前,26.329,,,,,
52,10/27/22 10:00:00 午前,26.451,,,,,
53,10/27/22 11:00:00 午前,26.598,,,,,
54,10/27/22 12:00:00 午後,26.744,,,,,
55,10/27/22 01:00:00 午後,26.744,,,,,
56,10/27/22 02:00:00 午後,26.793,,,,,
57,10/27/22 03:00:00 午後,26.793,,,,,
58,10/27/22 04:00:00 午後,26.769,,,,,
59,10/27/22 05:00:00 午後,26.744,,,,,
60,10/27/22 06:00:00 午後,26.744,,,,,
61,10/27/22 07:00:00 午後,26.622,,,,,
62,10/27/22 08:00:00 午後,26.549,,,,,
63,10/27/22 09:00:00 午後,26.524,,,,,
64,10/27/22 10:00:00 午後,26.475,,,,,
65,10/27/22 11:00:00 午後,26.378,,,,,
66,10/28/22 12:00:00 午前,26.329,,,,,
67,10/28/22 01:00:00 午前,26.475,,,,,
68,10/28/22 02:00:00 午前,26.451,,,,,
69,10/28/22 03:00:00 午前,26.402,,,,,
70,10/28/22 04:00:00 午前,26.231,,,,,
71,10/28/22 05:00:00 午前,26.256,,,,,
