プロット タイトル: site21_spot013_2023,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054305, SEN S/N: 20054305, LBL: ℃)",カプラー取り外し (LGR S/N: 20054305),カプラー取り付け (LGR S/N: 20054305),ホスト接続 (LGR S/N: 20054305),停止済み (LGR S/N: 20054305),ファイルの終わり (LGR S/N: 20054305)
1,12/10/22 10:00:00 午前,20.603,記録,,,,
2,12/10/22 11:00:00 午前,20.674,,,,,
3,12/10/22 12:00:00 午後,20.722,,,,,
4,12/10/22 01:00:00 午後,20.722,,,,,
5,12/10/22 02:00:00 午後,20.722,,,,,
6,12/10/22 03:00:00 午後,20.627,,,,,
7,12/10/22 04:00:00 午後,20.627,,,,,
8,12/10/22 05:00:00 午後,20.603,,,,,
9,12/10/22 06:00:00 午後,20.627,,,,,
10,12/10/22 07:00:00 午後,20.603,,,,,
11,12/10/22 08:00:00 午後,20.555,,,,,
12,12/10/22 09:00:00 午後,20.627,,,,,
13,12/10/22 10:00:00 午後,20.507,,,,,
14,12/10/22 11:00:00 午後,20.484,,,,,
15,12/11/22 12:00:00 午前,20.484,,,,,
16,12/11/22 01:00:00 午前,20.484,,,,,
17,12/11/22 02:00:00 午前,20.436,,,,,
18,12/11/22 03:00:00 午前,20.317,,,,,
19,12/11/22 04:00:00 午前,20.412,,,,,
20,12/11/22 05:00:00 午前,20.484,,,,,
21,12/11/22 06:00:00 午前,20.46,,,,,
22,12/11/22 07:00:00 午前,20.436,,,,,
23,12/11/22 08:00:00 午前,20.246,,,,,
24,12/11/22 09:00:00 午前,20.341,,,,,
25,12/11/22 10:00:00 午前,20.293,,,,,
26,12/11/22 11:00:00 午前,20.293,,,,,
27,12/11/22 12:00:00 午後,20.293,,,,,
28,12/11/22 01:00:00 午後,20.365,,,,,
29,12/11/22 02:00:00 午後,20.436,,,,,
30,12/11/22 03:00:00 午後,20.531,,,,,
31,12/11/22 04:00:00 午後,20.579,,,,,
32,12/11/22 05:00:00 午後,20.555,,,,,
33,12/11/22 06:00:00 午後,20.555,,,,,
34,12/11/22 07:00:00 午後,20.46,,,,,
35,12/11/22 08:00:00 午後,20.269,,,,,
36,12/11/22 09:00:00 午後,20.341,,,,,
37,12/11/22 10:00:00 午後,20.484,,,,,
38,12/11/22 11:00:00 午後,20.222,,,,,
39,12/12/22 12:00:00 午前,20.246,,,,,
40,12/12/22 01:00:00 午前,20.293,,,,,
41,12/12/22 02:00:00 午前,20.293,,,,,
42,12/12/22 03:00:00 午前,20.126,,,,,
43,12/12/22 04:00:00 午前,20.15,,,,,
44,12/12/22 05:00:00 午前,20.15,,,,,
45,12/12/22 06:00:00 午前,20.079,,,,,
46,12/12/22 07:00:00 午前,20.055,,,,,
47,12/12/22 08:00:00 午前,20.174,,,,,
48,12/12/22 09:00:00 午前,20.031,,,,,
49,12/12/22 10:00:00 午前,19.936,,,,,
50,12/12/22 11:00:00 午前,19.888,,,,,
51,12/12/22 12:00:00 午後,19.96,,,,,
52,12/12/22 01:00:00 午後,20.222,,,,,
53,12/12/22 02:00:00 午後,20.555,,,,,
54,12/12/22 03:00:00 午後,20.412,,,,,
55,12/12/22 04:00:00 午後,20.388,,,,,
56,12/12/22 05:00:00 午後,20.412,,,,,
57,12/12/22 06:00:00 午後,20.412,,,,,
58,12/12/22 07:00:00 午後,20.388,,,,,
59,12/12/22 08:00:00 午後,20.317,,,,,
60,12/12/22 09:00:00 午後,20.293,,,,,
61,12/12/22 10:00:00 午後,20.198,,,,,
62,12/12/22 11:00:00 午後,20.103,,,,,
63,12/13/22 12:00:00 午前,20.174,,,,,
64,12/13/22 01:00:00 午前,20.198,,,,,
65,12/13/22 02:00:00 午前,20.103,,,,,
66,12/13/22 03:00:00 午前,20.198,,,,,
67,12/13/22 04:00:00 午前,20.293,,,,,
68,12/13/22 05:00:00 午前,20.293,,,,,
69,12/13/22 06:00:00 午前,20.293,,,,,
70,12/13/22 07:00:00 午前,20.293,,,,,
71,12/13/22 08:00:00 午前,20.341,,,,,
72,12/13/22 09:00:00 午前,20.388,,,,,
73,12/13/22 10:00:00 午前,20.293,,,,,
74,12/13/22 11:00:00 午前,20.198,,,,,
75,12/13/22 12:00:00 午後,20.341,,,,,
76,12/13/22 01:00:00 午後,20.388,,,,,
77,12/13/22 02:00:00 午後,20.388,,,,,
78,12/13/22 03:00:00 午後,20.388,,,,,
