プロット タイトル: site15_spot022_2022,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011410, SEN S/N: 21011410)",カプラー取り外し (LGR S/N: 21011410),カプラー取り付け (LGR S/N: 21011410),ホスト接続 (LGR S/N: 21011410),停止済み (LGR S/N: 21011410),ファイルの終わり (LGR S/N: 21011410)
1,10/27/21 08:00:00 午前,23.545,記録,,,,
2,10/27/21 09:00:00 午前,23.737,,,,,
3,10/27/21 10:00:00 午前,24.532,,,,,
4,10/27/21 11:00:00 午前,25.331,,,,,
5,10/27/21 12:00:00 午後,24.968,,,,,
6,10/27/21 01:00:00 午後,24.677,,,,,
7,10/27/21 02:00:00 午後,25.186,,,,,
8,10/27/21 03:00:00 午後,26.109,,,,,
9,10/27/21 04:00:00 午後,25.428,,,,,
10,10/27/21 05:00:00 午後,24.823,,,,,
11,10/27/21 06:00:00 午後,24.653,,,,,
12,10/27/21 07:00:00 午後,24.75,,,,,
13,10/27/21 08:00:00 午後,24.968,,,,,
14,10/27/21 09:00:00 午後,25.113,,,,,
15,10/27/21 10:00:00 午後,25.355,,,,,
16,10/27/21 11:00:00 午後,25.525,,,,,
17,10/28/21 12:00:00 午前,25.623,,,,,
18,10/28/21 01:00:00 午前,25.72,,,,,
19,10/28/21 02:00:00 午前,25.793,,,,,
20,10/28/21 03:00:00 午前,25.817,,,,,
21,10/28/21 04:00:00 午前,25.817,,,,,
22,10/28/21 05:00:00 午前,25.817,,,,,
23,10/28/21 06:00:00 午前,25.793,,,,,
24,10/28/21 07:00:00 午前,22.345,,,,,
25,10/28/21 08:00:00 午前,23.785,,,,,
26,10/28/21 09:00:00 午前,25.089,,,,,
27,10/28/21 10:00:00 午前,27.235,,,,,
28,10/28/21 11:00:00 午前,25.647,,,,,
29,10/28/21 12:00:00 午後,25.38,,,,,
30,10/28/21 01:00:00 午後,25.866,,,,,
31,10/28/21 02:00:00 午後,25.04,,,,,
32,10/28/21 03:00:00 午後,24.919,,,,,
33,10/28/21 04:00:00 午後,24.629,,,,,
34,10/28/21 05:00:00 午後,24.581,,,,,
35,10/28/21 06:00:00 午後,24.653,,,,,
36,10/28/21 07:00:00 午後,24.702,,,,,
37,10/28/21 08:00:00 午後,24.798,,,,,
38,10/28/21 09:00:00 午後,24.895,,,,,
39,10/28/21 10:00:00 午後,25.089,,,,,
40,10/28/21 11:00:00 午後,25.355,,,,,
41,10/29/21 12:00:00 午前,25.525,,,,,
42,10/29/21 01:00:00 午前,25.623,,,,,
43,10/29/21 02:00:00 午前,25.671,,,,,
44,10/29/21 03:00:00 午前,25.695,,,,,
45,10/29/21 04:00:00 午前,25.695,,,,,
46,10/29/21 05:00:00 午前,25.72,,,,,
47,10/29/21 06:00:00 午前,25.72,,,,,
48,10/29/21 07:00:00 午前,21.748,,,,,
49,10/29/21 08:00:00 午前,22.92,,,,,
50,10/29/21 09:00:00 午前,24.146,,,,,
51,10/29/21 10:00:00 午前,26.158,,,,,
52,10/29/21 11:00:00 午前,24.895,,,,,
53,10/29/21 12:00:00 午後,24.871,,,,,
54,10/29/21 01:00:00 午後,24.823,,,,,
55,10/29/21 02:00:00 午後,24.992,,,,,
56,10/29/21 03:00:00 午後,26.109,,,,,
57,10/29/21 04:00:00 午後,25.428,,,,,
58,10/29/21 05:00:00 午後,25.162,,,,,
59,10/29/21 06:00:00 午後,25.355,,,,,
60,10/29/21 07:00:00 午後,25.72,,,,,
61,10/29/21 08:00:00 午後,25.574,,,,,
62,10/29/21 09:00:00 午後,25.574,,,,,
63,10/29/21 10:00:00 午後,25.671,,,,,
64,10/29/21 11:00:00 午後,25.939,,,,,
65,10/30/21 12:00:00 午前,26.012,,,,,
66,10/30/21 01:00:00 午前,26.036,,,,,
67,10/30/21 02:00:00 午前,26.061,,,,,
68,10/30/21 03:00:00 午前,26.085,,,,,
69,10/30/21 04:00:00 午前,26.061,,,,,
70,10/30/21 05:00:00 午前,26.036,,,,,
71,10/30/21 06:00:00 午前,26.036,,,,,
72,10/30/21 07:00:00 午前,23.641,,,,,
73,10/30/21 08:00:00 午前,24.581,,,,,
74,10/30/21 09:00:00 午前,26.622,,,,,
75,10/30/21 10:00:00 午前,26.671,,,,,
76,10/30/21 11:00:00 午前,26.646,,,,,
77,10/30/21 12:00:00 午後,26.622,,,,,
78,10/30/21 01:00:00 午後,26.524,,,,,
79,10/30/21 02:00:00 午後,26.622,,,,,
80,10/30/21 03:00:00 午後,26.891,,,,,
81,10/30/21 04:00:00 午後,26.916,,,,,
82,10/30/21 05:00:00 午後,26.916,,,,,
83,10/30/21 06:00:00 午後,26.989,,,,,
84,10/30/21 07:00:00 午後,26.891,,,,,
85,10/30/21 08:00:00 午後,26.818,,,,,
86,10/30/21 09:00:00 午後,26.646,,,,,
87,10/30/21 10:00:00 午後,26.549,,,,,
88,10/30/21 11:00:00 午後,26.475,,,,,
89,10/31/21 12:00:00 午前,26.451,,,,,
90,10/31/21 01:00:00 午前,26.524,,,,,
91,10/31/21 02:00:00 午前,26.72,,,,,
92,10/31/21 03:00:00 午前,26.867,,,,,
93,10/31/21 04:00:00 午前,26.965,,,,,
94,10/31/21 05:00:00 午前,27.014,,,,,
95,10/31/21 06:00:00 午前,27.112,,,,,
96,10/31/21 07:00:00 午前,27.087,,,,,
97,10/31/21 08:00:00 午前,27.014,,,,,
98,10/31/21 09:00:00 午前,26.867,,,,,
99,10/31/21 10:00:00 午前,26.965,,,,,
100,10/31/21 11:00:00 午前,26.842,,,,,
101,10/31/21 12:00:00 午後,26.72,,,,,
102,10/31/21 01:00:00 午後,26.622,,,,,
103,10/31/21 02:00:00 午後,26.646,,,,,
104,10/31/21 03:00:00 午後,26.793,,,,,
105,10/31/21 04:00:00 午後,26.989,,,,,
106,10/31/21 05:00:00 午後,27.063,,,,,
107,10/31/21 06:00:00 午後,27.112,,,,,
108,10/31/21 07:00:00 午後,27.161,,,,,
109,10/31/21 08:00:00 午後,27.038,,,,,
110,10/31/21 09:00:00 午後,26.965,,,,,
111,10/31/21 10:00:00 午後,27.014,,,,,
112,10/31/21 11:00:00 午後,26.916,,,,,
113,11/01/21 12:00:00 午前,26.744,,,,,
114,11/01/21 01:00:00 午前,26.646,,,,,
115,11/01/21 02:00:00 午前,26.818,,,,,
116,11/01/21 03:00:00 午前,26.965,,,,,
117,11/01/21 04:00:00 午前,27.136,,,,,
118,11/01/21 05:00:00 午前,27.136,,,,,
119,11/01/21 06:00:00 午前,27.21,,,,,
120,11/01/21 07:00:00 午前,27.186,,,,,
121,11/01/21 08:00:00 午前,27.136,,,,,
122,11/01/21 09:00:00 午前,26.965,,,,,
123,11/01/21 10:00:00 午前,26.94,,,,,
124,11/01/21 11:00:00 午前,27.112,,,,,
125,11/01/21 12:00:00 午後,27.038,,,,,
126,11/01/21 01:00:00 午後,26.94,,,,,
127,11/01/21 02:00:00 午後,26.867,,,,,
128,11/01/21 03:00:00 午後,26.818,,,,,
129,11/01/21 04:00:00 午後,26.989,,,,,
130,11/01/21 05:00:00 午後,26.989,,,,,
131,11/01/21 06:00:00 午後,27.087,,,,,
132,11/01/21 07:00:00 午後,27.112,,,,,
133,11/01/21 08:00:00 午後,27.063,,,,,
134,11/01/21 09:00:00 午後,26.891,,,,,
135,11/01/21 10:00:00 午後,26.793,,,,,
136,11/01/21 11:00:00 午後,26.769,,,,,
137,11/02/21 12:00:00 午前,26.744,,,,,
138,11/02/21 01:00:00 午前,26.867,,,,,
139,11/02/21 02:00:00 午前,26.818,,,,,
140,11/02/21 03:00:00 午前,26.818,,,,,
141,11/02/21 04:00:00 午前,26.891,,,,,
142,11/02/21 05:00:00 午前,26.916,,,,,
143,11/02/21 06:00:00 午前,26.989,,,,,
144,11/02/21 07:00:00 午前,27.063,,,,,
145,11/02/21 08:00:00 午前,27.014,,,,,
146,11/02/21 09:00:00 午前,26.793,,,,,
147,11/02/21 10:00:00 午前,26.769,,,,,
148,11/02/21 11:00:00 午前,26.867,,,,,
149,11/02/21 12:00:00 午後,27.112,,,,,
150,11/02/21 01:00:00 午後,26.94,,,,,
151,11/02/21 02:00:00 午後,26.867,,,,,
152,11/02/21 03:00:00 午後,26.818,,,,,
153,11/02/21 04:00:00 午後,26.867,,,,,
154,11/02/21 05:00:00 午後,26.916,,,,,
155,11/02/21 06:00:00 午後,26.989,,,,,
156,11/02/21 07:00:00 午後,27.112,,,,,
157,11/02/21 08:00:00 午後,27.087,,,,,
158,11/02/21 09:00:00 午後,26.989,,,,,
159,11/02/21 10:00:00 午後,26.769,,,,,
160,11/02/21 11:00:00 午後,26.72,,,,,
161,11/03/21 12:00:00 午前,26.916,,,,,
162,11/03/21 01:00:00 午前,26.94,,,,,
163,11/03/21 02:00:00 午前,26.793,,,,,
164,11/03/21 03:00:00 午前,26.744,,,,,
165,11/03/21 04:00:00 午前,26.842,,,,,
166,11/03/21 05:00:00 午前,26.891,,,,,
167,11/03/21 06:00:00 午前,27.038,,,,,
168,11/03/21 07:00:00 午前,27.087,,,,,
169,11/03/21 08:00:00 午前,27.087,,,,,
170,11/03/21 09:00:00 午前,26.916,,,,,
171,11/03/21 10:00:00 午前,26.72,,,,,
172,11/03/21 11:00:00 午前,26.989,,,,,
173,11/03/21 12:00:00 午後,27.063,,,,,
174,11/03/21 01:00:00 午後,26.965,,,,,
175,11/03/21 02:00:00 午後,26.793,,,,,
176,11/03/21 03:00:00 午後,26.744,,,,,
177,11/03/21 04:00:00 午後,26.769,,,,,
178,11/03/21 05:00:00 午後,26.842,,,,,
179,11/03/21 06:00:00 午後,26.867,,,,,
180,11/03/21 07:00:00 午後,27.063,,,,,
181,11/03/21 08:00:00 午後,27.087,,,,,
182,11/03/21 09:00:00 午後,27.038,,,,,
183,11/03/21 10:00:00 午後,26.891,,,,,
184,11/03/21 11:00:00 午後,26.671,,,,,
185,11/04/21 12:00:00 午前,26.818,,,,,
186,11/04/21 01:00:00 午前,26.891,,,,,
187,11/04/21 02:00:00 午前,26.793,,,,,
188,11/04/21 03:00:00 午前,26.695,,,,,
189,11/04/21 04:00:00 午前,26.744,,,,,
190,11/04/21 05:00:00 午前,26.769,,,,,
191,11/04/21 06:00:00 午前,26.916,,,,,
192,11/04/21 07:00:00 午前,26.94,,,,,
193,11/04/21 08:00:00 午前,26.94,,,,,
194,11/04/21 09:00:00 午前,26.989,,,,,
195,11/04/21 10:00:00 午前,26.769,,,,,
196,11/04/21 11:00:00 午前,26.72,,,,,
197,11/04/21 12:00:00 午後,26.916,,,,,
198,11/04/21 01:00:00 午後,26.94,,,,,
199,11/04/21 02:00:00 午後,26.793,,,,,
200,11/04/21 03:00:00 午後,26.744,,,,,
201,11/04/21 04:00:00 午後,26.72,,,,,
202,11/04/21 05:00:00 午後,26.769,,,,,
203,11/04/21 06:00:00 午後,26.793,,,,,
204,11/04/21 07:00:00 午後,26.94,,,,,
205,11/04/21 08:00:00 午後,27.014,,,,,
206,11/04/21 09:00:00 午後,27.014,,,,,
207,11/04/21 10:00:00 午後,26.916,,,,,
208,11/04/21 11:00:00 午後,26.72,,,,,
209,11/05/21 12:00:00 午前,26.622,,,,,
210,11/05/21 01:00:00 午前,26.842,,,,,
211,11/05/21 02:00:00 午前,26.818,,,,,
212,11/05/21 03:00:00 午前,26.769,,,,,
213,11/05/21 04:00:00 午前,26.695,,,,,
214,11/05/21 05:00:00 午前,26.793,,,,,
215,11/05/21 06:00:00 午前,26.744,,,,,
216,11/05/21 07:00:00 午前,26.891,,,,,
217,11/05/21 08:00:00 午前,26.965,,,,,
218,11/05/21 09:00:00 午前,26.989,,,,,
219,11/05/21 10:00:00 午前,27.038,,,,,
220,11/05/21 11:00:00 午前,26.989,,,,,
221,11/05/21 12:00:00 午後,26.842,,,,,
222,11/05/21 01:00:00 午後,26.965,,,,,
223,11/05/21 02:00:00 午後,27.014,,,,,
224,11/05/21 03:00:00 午後,26.842,,,,,
225,11/05/21 04:00:00 午後,26.769,,,,,
226,11/05/21 05:00:00 午後,26.72,,,,,
227,11/05/21 06:00:00 午後,26.744,,,,,
228,11/05/21 07:00:00 午後,26.867,,,,,
229,11/05/21 08:00:00 午後,26.916,,,,,
230,11/05/21 09:00:00 午後,26.94,,,,,
231,11/05/21 10:00:00 午後,26.891,,,,,
232,11/05/21 11:00:00 午後,26.793,,,,,
233,11/06/21 12:00:00 午前,26.695,,,,,
234,11/06/21 01:00:00 午前,26.842,,,,,
235,11/06/21 02:00:00 午前,26.793,,,,,
236,11/06/21 03:00:00 午前,26.769,,,,,
237,11/06/21 04:00:00 午前,26.72,,,,,
238,11/06/21 05:00:00 午前,26.671,,,,,
239,11/06/21 06:00:00 午前,26.695,,,,,
240,11/06/21 07:00:00 午前,26.769,,,,,
241,11/06/21 08:00:00 午前,26.818,,,,,
242,11/06/21 09:00:00 午前,26.94,,,,,
243,11/06/21 10:00:00 午前,26.965,,,,,
244,11/06/21 11:00:00 午前,27.014,,,,,
245,11/06/21 12:00:00 午後,26.916,,,,,
246,11/06/21 01:00:00 午後,26.867,,,,,
247,11/06/21 02:00:00 午後,26.842,,,,,
248,11/06/21 03:00:00 午後,26.989,,,,,
249,11/06/21 04:00:00 午後,26.916,,,,,
250,11/06/21 05:00:00 午後,26.867,,,,,
251,11/06/21 06:00:00 午後,26.867,,,,,
252,11/06/21 07:00:00 午後,26.94,,,,,
253,11/06/21 08:00:00 午後,27.014,,,,,
254,11/06/21 09:00:00 午後,27.063,,,,,
255,11/06/21 10:00:00 午後,27.087,,,,,
256,11/06/21 11:00:00 午後,27.014,,,,,
257,11/07/21 12:00:00 午前,26.891,,,,,
258,11/07/21 01:00:00 午前,26.793,,,,,
259,11/07/21 02:00:00 午前,26.769,,,,,
260,11/07/21 03:00:00 午前,26.965,,,,,
261,11/07/21 04:00:00 午前,26.891,,,,,
262,11/07/21 05:00:00 午前,26.793,,,,,
263,11/07/21 06:00:00 午前,26.793,,,,,
264,11/07/21 07:00:00 午前,26.867,,,,,
265,11/07/21 08:00:00 午前,26.965,,,,,
266,11/07/21 09:00:00 午前,27.112,,,,,
267,11/07/21 10:00:00 午前,27.136,,,,,
268,11/07/21 11:00:00 午前,27.21,,,,,
269,11/07/21 12:00:00 午後,27.235,,,,,
270,11/07/21 01:00:00 午後,27.161,,,,,
271,11/07/21 02:00:00 午後,27.136,,,,,
272,11/07/21 03:00:00 午後,27.235,,,,,
273,11/07/21 04:00:00 午後,27.186,,,,,
274,11/07/21 05:00:00 午後,27.063,,,,,
275,11/07/21 06:00:00 午後,26.94,,,,,
276,11/07/21 07:00:00 午後,27.112,,,,,
277,11/07/21 08:00:00 午後,27.112,,,,,
278,11/07/21 09:00:00 午後,27.235,,,,,
279,11/07/21 10:00:00 午後,27.21,,,,,
280,11/07/21 11:00:00 午後,27.161,,,,,
281,11/08/21 12:00:00 午前,27.112,,,,,
282,11/08/21 01:00:00 午前,27.014,,,,,
283,11/08/21 02:00:00 午前,26.965,,,,,
284,11/08/21 03:00:00 午前,27.087,,,,,
285,11/08/21 04:00:00 午前,27.087,,,,,
286,11/08/21 05:00:00 午前,27.038,,,,,
287,11/08/21 06:00:00 午前,26.989,,,,,
288,11/08/21 07:00:00 午前,26.94,,,,,
289,11/08/21 08:00:00 午前,26.916,,,,,
290,11/08/21 09:00:00 午前,26.94,,,,,
291,11/08/21 10:00:00 午前,27.087,,,,,
292,11/08/21 11:00:00 午前,27.063,,,,,
293,11/08/21 12:00:00 午後,26.989,,,,,
294,11/08/21 01:00:00 午後,26.916,,,,,
295,11/08/21 02:00:00 午後,26.842,,,,,
296,11/08/21 03:00:00 午後,26.744,,,,,
297,11/08/21 04:00:00 午後,26.549,,,,,
298,11/08/21 05:00:00 午後,26.402,,,,,
299,11/08/21 06:00:00 午後,26.475,,,,,
300,11/08/21 07:00:00 午後,26.426,,,,,
301,11/08/21 08:00:00 午後,26.378,,,,,
302,11/08/21 09:00:00 午後,26.085,,,,,
303,11/08/21 10:00:00 午後,25.963,,,,,
304,11/08/21 11:00:00 午後,25.817,,,,,
305,11/09/21 12:00:00 午前,25.768,,,,,
306,11/09/21 01:00:00 午前,25.841,,,,,
307,11/09/21 02:00:00 午前,25.768,,,,,
308,11/09/21 03:00:00 午前,25.623,,,,,
309,11/09/21 04:00:00 午前,25.404,,,,,
310,11/09/21 05:00:00 午前,25.186,,,,,
311,11/09/21 06:00:00 午前,25.089,,,,,
312,11/09/21 07:00:00 午前,25.598,,,,,
313,11/09/21 08:00:00 午前,25.72,,,,,
314,11/09/21 09:00:00 午前,25.647,,,,,
315,11/09/21 10:00:00 午前,25.768,,,,,
316,11/09/21 11:00:00 午前,25.866,,,,,
317,11/09/21 12:00:00 午後,25.744,,,,,
318,11/09/21 01:00:00 午後,25.647,,,,,
319,11/09/21 02:00:00 午後,25.574,,,,,
320,11/09/21 03:00:00 午後,25.355,,,,,
321,11/09/21 04:00:00 午後,25.04,,,,,
322,11/09/21 05:00:00 午後,24.75,,,,,
323,11/09/21 06:00:00 午後,25.113,,,,,
324,11/09/21 07:00:00 午後,24.968,,,,,
325,11/09/21 08:00:00 午後,25.113,,,,,
326,11/09/21 09:00:00 午後,25.38,,,,,
327,11/09/21 10:00:00 午後,25.331,,,,,
328,11/09/21 11:00:00 午後,25.283,,,,,
329,11/10/21 12:00:00 午前,25.841,,,,,
330,11/10/21 01:00:00 午前,25.695,,,,,
331,11/10/21 02:00:00 午前,25.307,,,,,
332,11/10/21 03:00:00 午前,25.234,,,,,
333,11/10/21 04:00:00 午前,25.428,,,,,
334,11/10/21 05:00:00 午前,25.477,,,,,
335,11/10/21 06:00:00 午前,25.331,,,,,
336,11/10/21 07:00:00 午前,25.307,,,,,
337,11/10/21 08:00:00 午前,25.283,,,,,
338,11/10/21 09:00:00 午前,25.307,,,,,
339,11/10/21 10:00:00 午前,25.647,,,,,
340,11/10/21 11:00:00 午前,25.987,,,,,
341,11/10/21 12:00:00 午後,26.28,,,,,
342,11/10/21 01:00:00 午後,26.451,,,,,
343,11/10/21 02:00:00 午後,26.524,,,,,
344,11/10/21 03:00:00 午後,26.475,,,,,
345,11/10/21 04:00:00 午後,26.353,,,,,
346,11/10/21 05:00:00 午後,26.256,,,,,
347,11/10/21 06:00:00 午後,26.085,,,,,
348,11/10/21 07:00:00 午後,25.963,,,,,
349,11/10/21 08:00:00 午後,25.598,,,,,
350,11/10/21 09:00:00 午後,25.55,,,,,
351,11/10/21 10:00:00 午後,25.768,,,,,
352,11/10/21 11:00:00 午後,25.939,,,,,
353,11/11/21 12:00:00 午前,26.231,,,,,
354,11/11/21 01:00:00 午前,26.451,,,,,
355,11/11/21 02:00:00 午前,26.353,,,,,
356,11/11/21 03:00:00 午前,26.28,,,,,
357,11/11/21 04:00:00 午前,26.085,,,,,
358,11/11/21 05:00:00 午前,25.744,,,,,
359,11/11/21 06:00:00 午前,25.866,,,,,
360,11/11/21 07:00:00 午前,25.768,,,,,
361,11/11/21 08:00:00 午前,25.671,,,,,
362,11/11/21 09:00:00 午前,25.623,,,,,
363,11/11/21 10:00:00 午前,25.72,,,,,
364,11/11/21 11:00:00 午前,25.793,,,,,
365,11/11/21 12:00:00 午後,25.768,,,,,
366,11/11/21 01:00:00 午後,25.817,,,,,
367,11/11/21 02:00:00 午後,25.914,,,,,
368,11/11/21 03:00:00 午後,25.963,,,,,
369,11/11/21 04:00:00 午後,25.817,,,,,
370,11/11/21 05:00:00 午後,25.647,,,,,
371,11/11/21 06:00:00 午後,25.307,,,,,
372,11/11/21 07:00:00 午後,25.331,,,,,
373,11/11/21 08:00:00 午後,25.234,,,,,
374,11/11/21 09:00:00 午後,25.089,,,,,
375,11/11/21 10:00:00 午後,24.629,,,,,
376,11/11/21 11:00:00 午後,25.72,,,,,
377,11/12/21 12:00:00 午前,26.012,,,,,
378,11/12/21 01:00:00 午前,26.28,,,,,
379,11/12/21 02:00:00 午前,26.402,,,,,
380,11/12/21 03:00:00 午前,26.378,,,,,
381,11/12/21 04:00:00 午前,26.28,,,,,
382,11/12/21 05:00:00 午前,26.231,,,,,
383,11/12/21 06:00:00 午前,26.036,,,,,
384,11/12/21 07:00:00 午前,25.501,,,,,
385,11/12/21 08:00:00 午前,25.477,,,,,
386,11/12/21 09:00:00 午前,25.331,,,,,
387,11/12/21 10:00:00 午前,25.258,,,,,
388,11/12/21 11:00:00 午前,25.477,,,,,
389,11/12/21 12:00:00 午後,25.623,,,,,
390,11/12/21 01:00:00 午後,25.841,,,,,
391,11/12/21 02:00:00 午後,26.134,,,,,
392,11/12/21 03:00:00 午後,26.231,,,,,
393,11/12/21 04:00:00 午後,26.304,,,,,
394,11/12/21 05:00:00 午後,26.329,,,,,
395,11/12/21 06:00:00 午後,26.28,,,,,
396,11/12/21 07:00:00 午後,26.134,,,,,
397,11/12/21 08:00:00 午後,26.036,,,,,
398,11/12/21 09:00:00 午後,25.914,,,,,
399,11/12/21 10:00:00 午後,25.477,,,,,
400,11/12/21 11:00:00 午後,25.671,,,,,
401,11/13/21 12:00:00 午前,26.329,,,,,
402,11/13/21 01:00:00 午前,26.475,,,,,
403,11/13/21 02:00:00 午前,26.5,,,,,
404,11/13/21 03:00:00 午前,26.549,,,,,
405,11/13/21 04:00:00 午前,26.5,,,,,
406,11/13/21 05:00:00 午前,26.426,,,,,
407,11/13/21 06:00:00 午前,26.378,,,,,
408,11/13/21 07:00:00 午前,26.28,,,,,
409,11/13/21 08:00:00 午前,26.207,,,,,
