プロット タイトル: site03_spot13_2020,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 10938067, SEN S/N: 10938067)",カプラー取り外し (LGR S/N: 10938067),カプラー取り付け (LGR S/N: 10938067),ホスト接続 (LGR S/N: 10938067),停止済み (LGR S/N: 10938067),ファイルの終わり (LGR S/N: 10938067)
1,09/03/19 10:00:00 午前,32.717,記録,,,,
2,09/03/19 11:00:00 午前,27.431,,,,,
3,09/03/19 12:00:00 午後,27.801,,,,,
4,09/03/19 01:00:00 午後,27.974,,,,,
5,09/03/19 02:00:00 午後,28.171,,,,,
6,09/03/19 03:00:00 午後,28.122,,,,,
7,09/03/19 04:00:00 午後,27.875,,,,,
8,09/03/19 05:00:00 午後,27.776,,,,,
9,09/03/19 06:00:00 午後,27.776,,,,,
10,09/03/19 07:00:00 午後,27.431,,,,,
11,09/03/19 08:00:00 午後,27.604,,,,,
12,09/03/19 09:00:00 午後,27.431,,,,,
13,09/03/19 10:00:00 午後,27.579,,,,,
14,09/03/19 11:00:00 午後,27.53,,,,,
15,09/04/19 12:00:00 午前,27.628,,,,,
16,09/04/19 01:00:00 午前,27.653,,,,,
17,09/04/19 02:00:00 午前,27.604,,,,,
18,09/04/19 03:00:00 午前,27.579,,,,,
19,09/04/19 04:00:00 午前,27.431,,,,,
20,09/04/19 05:00:00 午前,27.604,,,,,
21,09/04/19 06:00:00 午前,27.751,,,,,
22,09/04/19 07:00:00 午前,27.554,,,,,
23,09/04/19 08:00:00 午前,27.431,,,,,
24,09/04/19 09:00:00 午前,27.53,,,,,
25,09/04/19 10:00:00 午前,27.407,,,,,
26,09/04/19 11:00:00 午前,27.382,,,,,
27,09/04/19 12:00:00 午後,27.481,,,,,
28,09/04/19 01:00:00 午後,27.653,,,,,
29,09/04/19 02:00:00 午後,27.85,,,,,
30,09/04/19 03:00:00 午後,28.394,,,,,
31,09/04/19 04:00:00 午後,28.171,,,,,
32,09/04/19 05:00:00 午後,27.776,,,,,
33,09/04/19 06:00:00 午後,27.899,,,,,
34,09/04/19 07:00:00 午後,27.924,,,,,
35,09/04/19 08:00:00 午後,27.677,,,,,
36,09/04/19 09:00:00 午後,27.604,,,,,
37,09/04/19 10:00:00 午後,27.604,,,,,
38,09/04/19 11:00:00 午後,27.53,,,,,
39,09/05/19 12:00:00 午前,27.677,,,,,
40,09/05/19 01:00:00 午前,27.653,,,,,
41,09/05/19 02:00:00 午前,27.628,,,,,
42,09/05/19 03:00:00 午前,27.579,,,,,
43,09/05/19 04:00:00 午前,27.604,,,,,
44,09/05/19 05:00:00 午前,27.53,,,,,
45,09/05/19 06:00:00 午前,27.579,,,,,
46,09/05/19 07:00:00 午前,27.628,,,,,
47,09/05/19 08:00:00 午前,27.751,,,,,
48,09/05/19 09:00:00 午前,27.677,,,,,
49,09/05/19 10:00:00 午前,27.53,,,,,
50,09/05/19 11:00:00 午前,27.53,,,,,
51,09/05/19 12:00:00 午後,27.481,,,,,
52,09/05/19 01:00:00 午後,27.53,,,,,
53,09/05/19 02:00:00 午後,27.653,,,,,
54,09/05/19 03:00:00 午後,27.751,,,,,
55,09/05/19 04:00:00 午後,27.776,,,,,
56,09/05/19 05:00:00 午後,27.751,,,,,
57,09/05/19 06:00:00 午後,27.776,,,,,
58,09/05/19 07:00:00 午後,27.727,,,,,
59,09/05/19 08:00:00 午後,27.677,,,,,
60,09/05/19 09:00:00 午後,27.727,,,,,
61,09/05/19 10:00:00 午後,27.604,,,,,
62,09/05/19 11:00:00 午後,27.727,,,,,
63,09/06/19 12:00:00 午前,27.751,,,,,
64,09/06/19 01:00:00 午前,27.727,,,,,
65,09/06/19 02:00:00 午前,27.653,,,,,
66,09/06/19 03:00:00 午前,27.604,,,,,
67,09/06/19 04:00:00 午前,27.579,,,,,
68,09/06/19 05:00:00 午前,27.579,,,,,
69,09/06/19 06:00:00 午前,27.53,,,,,
70,09/06/19 07:00:00 午前,27.505,,,,,
71,09/06/19 08:00:00 午前,27.53,,,,,
72,09/06/19 09:00:00 午前,27.554,,,,,
73,09/06/19 10:00:00 午前,27.554,,,,,
74,09/06/19 11:00:00 午前,27.579,,,,,
75,09/06/19 12:00:00 午後,27.628,,,,,
76,09/06/19 01:00:00 午後,27.604,,,,,
77,09/06/19 02:00:00 午後,27.677,,,,,
78,09/06/19 03:00:00 午後,27.677,,,,,
79,09/06/19 04:00:00 午後,27.653,,,,,
80,09/06/19 05:00:00 午後,27.628,,,,,
81,09/06/19 06:00:00 午後,27.628,,,,,
82,09/06/19 07:00:00 午後,27.653,,,,,
83,09/06/19 08:00:00 午後,27.628,,,,,
84,09/06/19 09:00:00 午後,27.628,,,,,
85,09/06/19 10:00:00 午後,27.604,,,,,
86,09/06/19 11:00:00 午後,27.677,,,,,
87,09/07/19 12:00:00 午前,27.949,,,,,
88,09/07/19 01:00:00 午前,27.949,,,,,
89,09/07/19 02:00:00 午前,27.924,,,,,
90,09/07/19 03:00:00 午前,27.899,,,,,
91,09/07/19 04:00:00 午前,27.899,,,,,
92,09/07/19 05:00:00 午前,27.924,,,,,
93,09/07/19 06:00:00 午前,28.023,,,,,
94,09/07/19 07:00:00 午前,28.072,,,,,
95,09/07/19 08:00:00 午前,28.122,,,,,
96,09/07/19 09:00:00 午前,28.171,,,,,
97,09/07/19 10:00:00 午前,28.147,,,,,
98,09/07/19 11:00:00 午前,27.875,,,,,
99,09/07/19 12:00:00 午後,28.27,,,,,
100,09/07/19 01:00:00 午後,28.32,,,,,
101,09/07/19 02:00:00 午後,27.85,,,,,
102,09/07/19 03:00:00 午後,27.974,,,,,
103,09/07/19 04:00:00 午後,27.875,,,,,
104,09/07/19 05:00:00 午後,28.048,,,,,
105,09/07/19 06:00:00 午後,27.85,,,,,
106,09/07/19 07:00:00 午後,27.776,,,,,
107,09/07/19 08:00:00 午後,27.899,,,,,
108,09/07/19 09:00:00 午後,27.801,,,,,
109,09/07/19 10:00:00 午後,27.825,,,,,
110,09/07/19 11:00:00 午後,27.776,,,,,
111,09/08/19 12:00:00 午前,27.776,,,,,
112,09/08/19 01:00:00 午前,27.604,,,,,
113,09/08/19 02:00:00 午前,27.653,,,,,
114,09/08/19 03:00:00 午前,27.653,,,,,
115,09/08/19 04:00:00 午前,27.727,,,,,
116,09/08/19 05:00:00 午前,27.677,,,,,
117,09/08/19 06:00:00 午前,27.949,,,,,
118,09/08/19 07:00:00 午前,27.924,,,,,
119,09/08/19 08:00:00 午前,27.801,,,,,
120,09/08/19 09:00:00 午前,27.899,,,,,
121,09/08/19 10:00:00 午前,27.924,,,,,
122,09/08/19 11:00:00 午前,28.023,,,,,
123,09/08/19 12:00:00 午後,28.023,,,,,
124,09/08/19 01:00:00 午後,27.974,,,,,
125,09/08/19 02:00:00 午後,27.899,,,,,
126,09/08/19 03:00:00 午後,27.974,,,,,
127,09/08/19 04:00:00 午後,28.072,,,,,
128,09/08/19 05:00:00 午後,28.122,,,,,
129,09/08/19 06:00:00 午後,28.023,,,,,
130,09/08/19 07:00:00 午後,27.974,,,,,
131,09/08/19 08:00:00 午後,27.924,,,,,
132,09/08/19 09:00:00 午後,27.924,,,,,
133,09/08/19 10:00:00 午後,27.924,,,,,
134,09/08/19 11:00:00 午後,27.899,,,,,
135,09/09/19 12:00:00 午前,27.899,,,,,
136,09/09/19 01:00:00 午前,27.801,,,,,
137,09/09/19 02:00:00 午前,27.776,,,,,
138,09/09/19 03:00:00 午前,27.801,,,,,
139,09/09/19 04:00:00 午前,27.776,,,,,
140,09/09/19 05:00:00 午前,27.801,,,,,
141,09/09/19 06:00:00 午前,27.776,,,,,
142,09/09/19 07:00:00 午前,27.825,,,,,
143,09/09/19 08:00:00 午前,27.801,,,,,
144,09/09/19 09:00:00 午前,27.825,,,,,
145,09/09/19 10:00:00 午前,27.85,,,,,
146,09/09/19 11:00:00 午前,27.875,,,,,
147,09/09/19 12:00:00 午後,27.998,,,,,
148,09/09/19 01:00:00 午後,28.023,,,,,
149,09/09/19 02:00:00 午後,28.023,,,,,
150,09/09/19 03:00:00 午後,28.023,,,,,
151,09/09/19 04:00:00 午後,28.122,,,,,
152,09/09/19 05:00:00 午後,28.097,,,,,
153,09/09/19 06:00:00 午後,28.122,,,,,
154,09/09/19 07:00:00 午後,27.974,,,,,
155,09/09/19 08:00:00 午後,28.048,,,,,
156,09/09/19 09:00:00 午後,28.072,,,,,
157,09/09/19 10:00:00 午後,28.023,,,,,
158,09/09/19 11:00:00 午後,27.924,,,,,
159,09/10/19 12:00:00 午前,27.85,,,,,
160,09/10/19 01:00:00 午前,27.875,,,,,
161,09/10/19 02:00:00 午前,27.875,,,,,
162,09/10/19 03:00:00 午前,27.85,,,,,
163,09/10/19 04:00:00 午前,27.825,,,,,
164,09/10/19 05:00:00 午前,27.825,,,,,
165,09/10/19 06:00:00 午前,27.875,,,,,
166,09/10/19 07:00:00 午前,27.924,,,,,
167,09/10/19 08:00:00 午前,27.974,,,,,
168,09/10/19 09:00:00 午前,27.998,,,,,
169,09/10/19 10:00:00 午前,27.974,,,,,
170,09/10/19 11:00:00 午前,28.32,,,,,
171,09/10/19 12:00:00 午後,28.147,,,,,
172,09/10/19 01:00:00 午後,28.122,,,,,
173,09/10/19 02:00:00 午後,28.245,,,,,
174,09/10/19 03:00:00 午後,28.27,,,,,
175,09/10/19 04:00:00 午後,28.147,,,,,
176,09/10/19 05:00:00 午後,28.32,,,,,
177,09/10/19 06:00:00 午後,28.345,,,,,
178,09/10/19 07:00:00 午後,28.097,,,,,
179,09/10/19 08:00:00 午後,27.998,,,,,
180,09/10/19 09:00:00 午後,28.097,,,,,
181,09/10/19 10:00:00 午後,28.097,,,,,
182,09/10/19 11:00:00 午後,28.122,,,,,
183,09/11/19 12:00:00 午前,28.27,,,,,
184,09/11/19 01:00:00 午前,28.419,,,,,
185,09/11/19 02:00:00 午前,28.419,,,,,
186,09/11/19 03:00:00 午前,28.122,,,,,
187,09/11/19 04:00:00 午前,27.801,,,,,
188,09/11/19 05:00:00 午前,27.924,,,,,
189,09/11/19 06:00:00 午前,27.653,,,,,
190,09/11/19 07:00:00 午前,27.801,,,,,
191,09/11/19 08:00:00 午前,27.875,,,,,
192,09/11/19 09:00:00 午前,27.974,,,,,
193,09/11/19 10:00:00 午前,27.924,,,,,
194,09/11/19 11:00:00 午前,27.949,,,,,
195,09/11/19 12:00:00 午後,28.048,,,,,
196,09/11/19 01:00:00 午後,28.171,,,,,
197,09/11/19 02:00:00 午後,28.048,,,,,
198,09/11/19 03:00:00 午後,27.998,,,,,
199,09/11/19 04:00:00 午後,27.825,,,,,
200,09/11/19 05:00:00 午後,27.998,,,,,
201,09/11/19 06:00:00 午後,27.949,,,,,
202,09/11/19 07:00:00 午後,27.974,,,,,
203,09/11/19 08:00:00 午後,28.072,,,,,
204,09/11/19 09:00:00 午後,28.072,,,,,
205,09/11/19 10:00:00 午後,28.097,,,,,
206,09/11/19 11:00:00 午後,28.048,,,,,
207,09/12/19 12:00:00 午前,27.998,,,,,
208,09/12/19 01:00:00 午前,28.072,,,,,
209,09/12/19 02:00:00 午前,28.097,,,,,
210,09/12/19 03:00:00 午前,28.023,,,,,
211,09/12/19 04:00:00 午前,27.604,,,,,
212,09/12/19 05:00:00 午前,27.776,,,,,
213,09/12/19 06:00:00 午前,27.677,,,,,
214,09/12/19 07:00:00 午前,27.776,,,,,
215,09/12/19 08:00:00 午前,27.899,,,,,
216,09/12/19 09:00:00 午前,28.048,,,,,
