プロット タイトル: site05_spot014_2020,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20523064, SEN S/N: 20523064)",カプラー取り外し (LGR S/N: 20523064),カプラー取り付け (LGR S/N: 20523064),ホスト接続 (LGR S/N: 20523064),ファイルの終わり (LGR S/N: 20523064)
1,09/26/19 12:00:00 午前,26.109,記録,,,
2,09/26/19 12:30:00 午前,26.109,,,,
3,09/26/19 01:00:00 午前,26.085,,,,
4,09/26/19 01:30:00 午前,26.061,,,,
5,09/26/19 02:00:00 午前,26.036,,,,
6,09/26/19 02:30:00 午前,26.036,,,,
7,09/26/19 03:00:00 午前,26.012,,,,
8,09/26/19 03:30:00 午前,25.987,,,,
9,09/26/19 04:00:00 午前,25.987,,,,
10,09/26/19 04:30:00 午前,25.963,,,,
11,09/26/19 05:00:00 午前,25.939,,,,
12,09/26/19 05:30:00 午前,25.866,,,,
13,09/26/19 06:00:00 午前,25.72,,,,
14,09/26/19 06:30:00 午前,25.55,,,,
15,09/26/19 07:00:00 午前,25.477,,,,
16,09/26/19 07:30:00 午前,25.55,,,,
17,09/26/19 08:00:00 午前,25.768,,,,
18,09/26/19 08:30:00 午前,26.061,,,,
19,09/26/19 09:00:00 午前,27.136,,,,
20,09/26/19 09:30:00 午前,27.161,,,,
21,09/26/19 10:00:00 午前,26.622,,,,
22,09/26/19 10:30:00 午前,28.791,,,,
23,09/26/19 11:00:00 午前,31.128,,,,
24,09/26/19 11:30:00 午前,34.598,,,,
25,09/26/19 12:00:00 午後,36.905,,,,
26,09/26/19 12:30:00 午後,31.586,,,,
27,09/26/19 01:00:00 午後,30.343,,,,
28,09/26/19 01:30:00 午後,31.561,,,,
29,09/26/19 02:00:00 午後,26.5,,,,
30,09/26/19 02:30:00 午後,26.451,,,,
31,09/26/19 03:00:00 午後,26.402,,,,
32,09/26/19 03:30:00 午後,26.402,,,,
33,09/26/19 04:00:00 午後,26.402,,,,
34,09/26/19 04:30:00 午後,26.353,,,,
35,09/26/19 05:00:00 午後,26.353,,,,
36,09/26/19 05:30:00 午後,26.353,,,,
37,09/26/19 06:00:00 午後,26.378,,,,
38,09/26/19 06:30:00 午後,26.378,,,,
39,09/26/19 07:00:00 午後,26.378,,,,
40,09/26/19 07:30:00 午後,26.353,,,,
41,09/26/19 08:00:00 午後,26.353,,,,
42,09/26/19 08:30:00 午後,26.451,,,,
43,09/26/19 09:00:00 午後,26.524,,,,
44,09/26/19 09:30:00 午後,26.549,,,,
45,09/26/19 10:00:00 午後,26.573,,,,
46,09/26/19 10:30:00 午後,26.598,,,,
47,09/26/19 11:00:00 午後,26.573,,,,
48,09/26/19 11:30:00 午後,26.573,,,,
49,09/27/19 12:00:00 午前,26.5,,,,
50,09/27/19 12:30:00 午前,26.549,,,,
51,09/27/19 01:00:00 午前,26.573,,,,
52,09/27/19 01:30:00 午前,26.573,,,,
53,09/27/19 02:00:00 午前,26.573,,,,
54,09/27/19 02:30:00 午前,26.524,,,,
55,09/27/19 03:00:00 午前,26.5,,,,
56,09/27/19 03:30:00 午前,26.475,,,,
57,09/27/19 04:00:00 午前,26.426,,,,
58,09/27/19 04:30:00 午前,26.402,,,,
59,09/27/19 05:00:00 午前,26.353,,,,
60,09/27/19 05:30:00 午前,26.304,,,,
61,09/27/19 06:00:00 午前,26.378,,,,
62,09/27/19 06:30:00 午前,26.28,,,,
63,09/27/19 07:00:00 午前,26.182,,,,
64,09/27/19 07:30:00 午前,26.182,,,,
65,09/27/19 08:00:00 午前,26.207,,,,
66,09/27/19 08:30:00 午前,26.231,,,,
67,09/27/19 09:00:00 午前,26.231,,,,
